symbol,net_pnl
SNDK,0.37647807380340553
PLTR,0.35739177388689636
WDC,0.3121852195873233
MU,0.17833529655711913
NVDA,0.13993580714426063
STX,0.12507615817840925
CEG,0.09820593616476143
TER,0.0885831199755368
GEV,0.08658864426705934
TPR,0.07619372107118143
AVGO,0.07495877428841179
META,0.07406705503544014
ANET,0.0657403939973963
LITE,0.05302799204065781
APA,0.05208113137678754
RCL,0.04745354941932068
MRO,0.03853673596431688
ALGN,0.03509424984144137
OXY,0.03296743337282799
NFLX,0.03007602498109708
WYNN,0.029937443594548474
PANW,0.029933647082816206
MPC,0.029532524161847425
FANG,0.02690751825337833
AMAT,0.0251879634336528
PSX,0.024879748692755405
ON,0.023640825940306726
COP,0.02337890489304926
VRTX,0.019348861113568455
DHI,0.018514300721070538
ETSY,0.018009633093361125
APH,0.017582099224101106
WBD,0.01731951531994399
NRG,0.016740679439016547
TTWO,0.01644100256108368
CI,0.01606300794806695
FICO,0.01604261963204718
FI,0.015920283783668967
EQT,0.015593751879041823
URI,0.013888396658146849
CAH,0.012893184235769338
GILD,0.01255688579481549
INTU,0.012104771426021274
ADBE,0.012103448821926474
ALL,0.012000340960261768
ALB,0.011086250404392423
DVN,0.009922710345699972
GE,0.009237120111892044
CRM,0.009055986907857722
GLW,0.009000421501127615
VLO,0.008672747439230525
BIIB,0.008220085401038892
LRCX,0.0081163184167302
XLNX,0.007375202975021628
USB,0.005970156905356196
BA,0.005377913834054433
GIS,0.004894777997700644
PM,0.004838677114026404
AXON,0.004811929571932337
NUE,0.004550455112290191
PGR,0.004438795861451114
IDXX,0.004182806057011605
MCK,0.003423775632539113
KEY,0.003307976557937455
HUM,0.0029826170733403146
DXCM,0.002828346028319533
EOG,0.0021182966637577263
QCOM,0.0020708898407294863
DPZ,0.0020003390903997518
FDX,0.0010696756783181091
BKNG,0.00101494359707595
DLR,0.0009809118163070312
EBAY,0.0003618762746430716
WBA,0.0
WAT,0.0
APD,0.0
TEL,0.0
TECH,0.0
TDY,0.0
TDG,0.0
TAP,0.0
T,0.0
SYY,0.0
SYK,0.0
SPY,0.0
ATVI,0.0
ATO,0.0
ARES,0.0
ARE,0.0
APTV,0.0
APO,0.0
BLK,0.0
BLDR,0.0
BKR,0.0
BK,0.0
BIO,0.0
BG,0.0
BF.B,0.0
BEN,0.0
BDX,0.0
BBY,0.0
BBWI,0.0
BAX,0.0
BALL,0.0
BAC,0.0
CB,0.0
CAT,0.0
CASY,0.0
CARR,0.0
CAG,0.0
C,0.0
BXP,0.0
BX,0.0
BWA,0.0
BSX,0.0
BRO,0.0
BRK.B,0.0
BR,0.0
BMY,0.0
BLL,0.0
CHTR,0.0
CHRW,0.0
CHD,0.0
CFG,0.0
CERN,0.0
CE,0.0
CDW,0.0
CDAY,0.0
CCI,0.0
CBRE,0.0
CBOE,0.0
COHR,0.0
COG,0.0
COF,0.0
CNP,0.0
CNC,0.0
CMS,0.0
CMI,0.0
CME,0.0
CMCSA,0.0
CMA,0.0
CLX,0.0
CL,0.0
CINF,0.0
CIEN,0.0
CTAS,0.0
CSX,0.0
CSGP,0.0
CSCO,0.0
CRL,0.0
