symbol,net_pnl
MCK,0.10489385706100109
PLTR,0.08955859864797497
WMT,0.08336634870239092
NVDA,0.07808679936727107
SNDK,0.06882426511503997
WDC,0.06228353688209269
NFLX,0.055959123455888694
STX,0.048196173707416565
MRO,0.04109997684205321
MU,0.03971426797813648
META,0.03816608854488058
MSI,0.03782118910379628
PGR,0.03760802202254479
APH,0.037236150118395706
CI,0.03364850613472689
WELL,0.032622335070788135
FI,0.031893006763101486
GE,0.030878509720495155
ALL,0.02925479147335777
COP,0.02833110878207697
FDX,0.0280029356041041
LHX,0.027857469763528764
CRM,0.027029531920421
EOG,0.026800038185907756
FANG,0.02478828779823769
DVN,0.023396417638012337
RTX,0.0231171086377733
BIIB,0.021407418406083005
BKNG,0.020915790153633863
PSX,0.020275427727329987
ATVI,0.019869263090769064
ADBE,0.019595180411123306
DHI,0.019579657370748817
AVGO,0.019430995442141687
PXD,0.01719852238952452
ORCL,0.01705511753081142
APA,0.015627388500598912
OXY,0.015373296427221777
LLY,0.014880738621415313
ALGN,0.013729709454280419
NEM,0.013588009944217017
MMM,0.013313492328385794
ULTA,0.012360789599884993
DPZ,0.011346802030779217
URI,0.011234696604843736
TDG,0.010903482708158484
WMB,0.010724108307361542
AFL,0.010690548524823611
ALB,0.010567563638321316
JCI,0.010419728434056736
TTWO,0.010298398511214234
CMG,0.009442899073826151
TER,0.008774978889824104
CERN,0.008596127393069886
CTAS,0.008478979114004349
ECL,0.008446703497128151
ODFL,0.00841078110574751
XOM,0.008386354189653791
LEN,0.008244098698616534
LITE,0.008071435441717829
NRG,0.007949536262198957
GOOGL,0.007914694580567367
GEV,0.007673249372442685
GLW,0.007552657888159349
IBM,0.007547086786823639
AEP,0.007001897500565719
MNST,0.006730404518475698
PH,0.006576656159921842
CME,0.006159888142401778
AZO,0.00588657672246754
WYNN,0.005625317705434898
CL,0.005584807905121924
CAT,0.005464444572043677
TRV,0.005363520809819823
MRK,0.004979812358592951
LVS,0.004741725931760471
REGN,0.004702809628743167
BMY,0.004645410469235008
AXP,0.00462219146548207
EQT,0.004499936249347217
ETR,0.004398010021241435
T,0.004393433027986765
NOW,0.004149385375296493
SLB,0.004058619977577731
INTU,0.003986320602396523
DLR,0.003867674100534587
DXCM,0.0036978686070685413
ACN,0.0034238027639050344
VRSK,0.0031198762426898614
AMD,0.0029549044088729042
ROP,0.0025621872721935347
HAL,0.0024807938222317907
NOC,0.0022742620020957897
IDXX,0.0022650913001126018
GD,0.002248963051421186
CCL,0.002236834370624208
F,0.001881101235289227
ETN,0.0017636419737825065
COF,0.0016670254258254948
LULU,0.0016504487409015403
CTSH,0.0015882814112452095
SYK,0.0014898599681045426
PWR,0.00138225249125172
CF,0.001269918144752341
PLD,0.0007396665245901868
COR,0.0005340644461977672
HPQ,0.0005229822444449396
INTC,0.0004308603099311007
FCX,0.00023044143294377568
DE,0.000207901581935668
FIS,5.6021222087790674e-05
ADP,0.0
ADM,0.0
ADI,0.0
CBRE,0.0
CBOE,0.0
BEN,0.0
BDX,0.0
BBY,0.0
BBWI,0.0
BAX,0.0
BALL,0.0
BAC,0.0
CARR,0.0
CAG,0.0
BXP,0.0
BX,0.0
CNP,0.0
BLL,0.0
BLDR,0.0
BKR,0.0
CHD,0.0
CFG,0.0
CE,0.0
CDW,0.0
CDAY,0.0
CCI,0.0
CHRW,0.0
CRWD,0.0
CRL,0.0
CASY,0.0
VTR,0.0
VST,0.0
VRT,0.0
VRSN,0.0
VNO,0.0
VMC,0.0
VLTO,0.0
VICI,0.0
VIAC,0.0
VFC,0.0
USB,0.0
DAY,0.0
DASH,0.0
D,0.0
CZR,0.0
CVNA,0.0
CNC,0.0
CMS,0.0
CMCSA,0.0
CMA,0.0
CLX,0.0
CINF,0.0
CIEN,0.0
CHTR,0.0
DISCA,0.0
DIS,0.0
DHR,0.0
DGX,0.0
DFS,0.0
CRH,0.0
CPT,0.0
CPRT,0.0
CPB,0.0
CPAY,0.0
COO,0.0
COIN,0.0
COHR,0.0
COG,0.0
DVA,0.0
DUK,0.0
DTE,0.0
DRI,0.0
DRE,0.0
CTXS,0.0
CTVA,0.0
CTLT,0.0
