symbol,net_pnl
LRCX,0.17610267330006804
PDD,0.1645427304759328
MU,0.1089971131217663
MRNA,0.10500688506108412
ZM,0.10304096293693107
WDC,0.1001903496640899
PLTR,0.09891662638911712
STX,0.0982121904843283
INTC,0.09714722388920782
WBD,0.09691674579080622
JD,0.08553041599500558
NFLX,0.08297538359670395
MELI,0.08228327875124253
AMD,0.0808422143110161
ASML,0.0803528546824938
TSLA,0.07097492067739962
AMAT,0.05716438672171066
BKNG,0.05611859302169158
CRWD,0.04840277679921158
GILD,0.042333777922026666
REGN,0.042266482642827403
DOCU,0.041053683860983715
META,0.041027622035988406
NVDA,0.03922440836561887
DASH,0.032311275692387474
GOOGL,0.026989476795551807
VRTX,0.025005150750823293
GOOG,0.024689508894755487
CSCO,0.022445733482533654
TMUS,0.021022656906933022
PYPL,0.019966552790005185
AMZN,0.019731464008295112
KLAC,0.017510893345698674
MSTR,0.016953850440269334
MSFT,0.01621606119233488
PANW,0.016138580906795482
INTU,0.013080908079484794
SBUX,0.010775398609308547
SNDK,0.007420734665909333
NXPI,0.00740464272914498
WDAY,0.007379282554987262
AAPL,0.007374573721462758
PEP,0.007362429329617843
ADP,0.006011985827291376
AZN,0.005735517856460982
ALXN,0.0051264715501536644
BIIB,0.0042453846944894525
SHOP,0.004084386969800263
MDLZ,0.003647379674620633
SPLK,0.003448738317936635
CMCSA,0.002755330117410355
AVGO,0.002083453866643413
TEAM,0.0005927301052391547
ARM,0.0002497873210041968
ADSK,0.0
ALGN,0.0
ANSS,0.0
ALNY,0.0
AAL,0.0
CDW,0.0
CHKP,0.0
QQQ,0.0
AEP,0.0
CCEP,0.0
BMRN,0.0
CELG,0.0
CERN,0.0
AXON,0.0
BKR,0.0
VSNT,0.0
WBA,0.0
WTW,0.0
SIRI,0.0
RIVN,0.0
PCAR,0.0
ROP,0.0
SGEN,0.0
PAYX,0.0
NLOK,0.0
MPWR,0.0
LBTYA,0.0
JBHT,0.0
INCY,0.0
GFS,0.0
FOXA,0.0
MAR,0.0
MNST,0.0
GEHC,0.0
FTNT,0.0
FER,0.0
EXC,0.0
FI,0.0
FOX,0.0
EA,0.0
DLTR,0.0
CTXS,0.0
CTSH,0.0
EXPE,0.0
CSGP,0.0
CTAS,0.0
CPRT,0.0
WYNN,0.0
XEL,0.0
WMT,0.0
UAL,0.0
TRI,0.0
VRSK,0.0
VRSN,0.0
ULTA,0.0
SWKS,0.0
SOLS,0.0
MYL,0.0
TCOM,0.0
TTD,0.0
TTWO,0.0
LBTYK,0.0
LIN,0.0
HSIC,0.0
IDXX,0.0
HAS,0.0
INSM,0.0
KDP,0.0
KHC,0.0
FAST,0.0
FANG,0.0
ROST,0.0
ORLY,0.0
OKTA,0.0
ODFL,0.0
NTES,0.0
NTAP,0.0
MXIM,0.0
MTCH,0.0
DXCM,-0.00031808434250617197
APP,-0.0009204779369060266
TXN,-0.0016631408632233548
ATVI,-0.0021355746023457205
HON,-0.002210090601469322
SNPS,-0.003653774483296795
MCHP,-0.004951559960712253
ILMN,-0.005671514368648449
CDNS,-0.00733791379202222
CHTR,-0.0076758405506636915
CSX,-0.009333668253492798
XLNX,-0.009853908656346657
ADI,-0.009992919882912604
MDB,-0.010298272716776042
BIDU,-0.011338744932475131
EBAY,-0.011562263520791139
ON,-0.01261156547635482
AMGN,-0.013947994743896975
ABNB,-0.014956449562328422
COST,-0.015359197146663015
ADBE,-0.018147240610582
DDOG,-0.018818032701048724
PTON,-0.026688662711314752
LULU,-0.027057598843734976
ENPH,-0.035089247921379574
LCID,-0.038498219214934216
CEG,-0.04304673411471234
QCOM,-0.05037343219088532
ZS,-0.050800885844606694
SMCI,-0.05325865752059206
MRVL,-0.06859499454757007
ISRG,-0.10171019088898221
