symbol,net_pnl
SNDK,0.2196247455647223
WDC,0.21144910193937747
NVDA,0.1493423393883679
WMT,0.1087177552812951
PLTR,0.09435666260583045
DHI,0.08773956511170189
MCK,0.07942810354087429
LITE,0.07773976563151577
META,0.07336487565684652
LLY,0.06555777388133008
MSI,0.06276628619527187
ALL,0.04695830880325907
STX,0.043236304480037326
WELL,0.04196627478191571
CI,0.040722954589892245
CRM,0.04025122265038999
FI,0.03857740942605647
NFLX,0.03746242321657833
ORCL,0.03583484889915001
TMUS,0.03564294365684607
GEV,0.03255460727475713
DVN,0.030221776748431094
PSX,0.02960767705415896
LHX,0.029594570616238807
COP,0.029316554601168648
OXY,0.02890039455016634
GOOG,0.02732911216464491
TRGP,0.026834869593412084
CME,0.024487373483922235
CAT,0.023793839464880683
NTAP,0.022769330874581925
CMG,0.021819078457285424
LEN,0.021275519286414055
PGR,0.020816986011554912
HLT,0.020666202995248545
EBAY,0.01948313406023381
CTAS,0.018538888383162866
HES,0.018313110522777228
ECL,0.014647879562104667
DXCM,0.014019674495426418
MPC,0.0132366108891337
AEP,0.013046508320693106
ADBE,0.012761071953635935
GD,0.0120561522431877
TPR,0.011453992108772355
MRO,0.01020030854325731
CERN,0.00990623680677649
AXP,0.009862843176394501
WBD,0.009746519257895672
AZO,0.009733239325621963
REGN,0.009725026509930708
DPZ,0.008517536735536914
HAL,0.007405894357525502
SMCI,0.006779207357313483
CSCO,0.006122699164416792
ALB,0.005771541548993876
INTU,0.005331021136530747
TJX,0.003790538823255247
MU,0.0032679938092543066
GIS,0.0030953102142495113
LMT,0.0024475552877755435
MMM,0.0017423743217597314
ULTA,0.0017065229016438514
BSX,0.0011699586735603362
V,0.0011078756376614793
CL,0.0008854851071750764
BK,0.0005680166404283332
NOC,1.4469746690762911e-05
AOS,0.0
APA,0.0
BF.B,0.0
BG,0.0
BIIB,0.0
BIO,0.0
BKR,0.0
BLDR,0.0
APD,0.0
APO,0.0
APP,0.0
APTV,0.0
ARE,0.0
ARES,0.0
ATO,0.0
AVB,0.0
AVGO,0.0
BWA,0.0
BX,0.0
BXP,0.0
C,0.0
CAG,0.0
CARR,0.0
CASY,0.0
SPY,0.0
BA,0.0
BAC,0.0
BALL,0.0
BAX,0.0
BBWI,0.0
BBY,0.0
BDX,0.0
BEN,0.0
CDAY,0.0
CDNS,0.0
CDW,0.0
CE,0.0
CF,0.0
CFG,0.0
CHD,0.0
CHRW,0.0
CHTR,0.0
BLK,0.0
BLL,0.0
BR,0.0
BRK.B,0.0
BRO,0.0
CLX,0.0
CMA,0.0
CMCSA,0.0
CMI,0.0
CMS,0.0
CNC,0.0
CNP,0.0
COF,0.0
COG,0.0
COHR,0.0
CBOE,0.0
CBRE,0.0
CCI,0.0
CCL,0.0
CPAY,0.0
CPB,0.0
CPRT,0.0
CPT,0.0
CRH,0.0
CRL,0.0
CRWD,0.0
CSGP,0.0
CSX,0.0
CIEN,0.0
CINF,0.0
VFC,0.0
VIAC,0.0
VICI,0.0
VLTO,0.0
VMC,0.0
VNO,0.0
VRSN,0.0
VRT,0.0
VRTX,0.0
VST,0.0
VTR,0.0
VTRS,0.0
VZ,0.0
COIN,0.0
COO,0.0
DOC,0.0
DOV,0.0
CTLT,0.0
CTRA,0.0
CTSH,0.0
CTVA,0.0
CTXS,0.0
CVNA,0.0
CZR,0.0
D,0.0
DAL,0.0
DASH,0.0
DAY,0.0
DD,0.0
DDOG,0.0
ED,0.0
EFX,0.0
EG,0.0
DE,0.0
DECK,0.0
DELL,0.0
DFS,0.0
DGX,0.0
DHR,0.0
DIS,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
EQIX,0.0
EQR,0.0
ERIE,0.0
ES,0.0
ESS,0.0
ETN,0.0
DOW,0.0
DRE,0.0
DRI,0.0
DTE,0.0
DUK,0.0
DVA,0.0
DXC,0.0
EXPE,0.0
EXR,0.0
F,0.0
FAST,0.0
FB,0.0
FBHS,0.0
FCX,0.0
FDS,0.0
EIX,0.0
EL,0.0
ELV,0.0
EME,0.0
EMN,0.0
EMR,0.0
EOG,0.0
EPAM,0.0
FISV,0.0
FITB,0.0
FIX,0.0
FLIR,0.0
FLT,0.0
FMC,0.0
FOX,0.0
FOXA,0.0
FRC,0.0
FRT,0.0
ETR,0.0
ETSY,0.0
EVRG,0.0
EW,0.0
EXE,0.0
EXPD,0.0
FSLR,0.0
FTV,0.0
GDDY,0.0
GEHC,0.0
GEN,0.0
GL,0.0
GNRC,0.0
FDX,0.0
FE,0.0
FFIV,0.0
FIS,0.0
HIG,0.0
TXN,0.0
TXT,0.0
TYL,0.0
UA,0.0
UAA,0.0
UBER,0.0
UDR,0.0
UHS,0.0
UNH,0.0
UNM,0.0
UNP,0.0
UPS,0.0
URI,0.0
USB,0.0
HUBB,0.0
IBKR,0.0
IBM,0.0
GPC,0.0
GPN,0.0
GPS,0.0
GRMN,0.0
GS,0.0
GWW,0.0
HAS,0.0
HBAN,0.0
HBI,0.0
HD,0.0
HFC,0.0
IPG,0.0
IPGP,0.0
IQV,0.0
IR,0.0
IRM,0.0
HII,0.0
A,0.0
HOLX,0.0
HON,0.0
HOOD,0.0
HPE,0.0
HPQ,0.0
HRL,0.0
HSIC,0.0
HST,0.0
HSY,0.0
JNJ,0.0
JNPR,0.0
JPM,0.0
K,0.0
KEY,0.0
KEYS,0.0
IDXX,0.0
IEX,0.0
IFF,0.0
ILMN,0.0
INCY,0.0
INFO,0.0
INTC,0.0
AAL,0.0
INVH,0.0
IP,0.0
KSU,0.0
KVUE,0.0
L,0.0
LB,0.0
LDOS,0.0
LEG,0.0
AAP,0.0
ISRG,0.0
IT,0.0
ITW,0.0
IVZ,0.0
J,0.0
JBHT,0.0
JBL,0.0
JCI,0.0
JKHY,0.0
AAPL,0.0
LNC,0.0
LNT,0.0
LRCX,0.0
LULU,0.0
LUMN,0.0
LUV,0.0
KHC,0.0
KIM,0.0
KKR,0.0
KLAC,0.0
KMB,0.0
KMI,0.0
KMX,0.0
KO,0.0
KR,0.0
