symbol,net_pnl
TQQQ,0.32933261621160237
SOXL,0.31184915483141673
GLD,0.19056818042193155
SMH,0.14121488849483957
QQQ,0.11546034529193183
SPY,0.10689989766097183
XLK,0.07894833167298959
XLF,0.04582756602579417
XLP,0.01258595386737963
HYG,0.006925891605722603
XLI,0.004134060009427712
XLRE,0.0
XLC,0.0
XLB,0.0
SOXS,0.0
SHY,0.0
BIL,0.0
USO,0.0
XLY,-0.006213839807657459
XLV,-0.007613635087712423
XLE,-0.014075733098691291
DIA,-0.01496483188935307
IWM,-0.017685420056822686
XLU,-0.022034426052396718
ARKK,-0.026874735829629022
TLT,-0.052547114580285124
SQQQ,-0.7398801845066207
