symbol,net_pnl
TSLA,0.5181551918975386
PLTR,0.3954697615236524
MRNA,0.3923613003519276
ZM,0.3459868784807384
NVDA,0.2737497131826138
WDC,0.26570406063755464
MELI,0.2587987818540737
MU,0.23233243051766772
CRWD,0.1696514910324531
META,0.15565548354402065
AMD,0.11558561847929395
MSTR,0.10356969096164037
ASML,0.09300611972180031
NFLX,0.09227469651842185
PDD,0.07411855866856347
AMAT,0.06849445329864524
ADBE,0.06816237492368084
REGN,0.06217820314246725
STX,0.06087979870988937
GILD,0.05982915291206965
INTU,0.056994606961341475
WBD,0.053530323799701816
APP,0.05052500821001612
SBUX,0.034018808532198526
DOCU,0.02909271752824333
ARM,0.02847839627067556
GOOG,0.026802247431877674
DDOG,0.026596884612889282
SNDK,0.020420925464783708
XLNX,0.01610590678051822
AMGN,0.015387378074728312
VRTX,0.012839211866652786
AZN,0.00868500362982676
ADP,0.005822196547989198
BIIB,0.004545772434572344
ATVI,0.003881629991146103
LULU,0.0038670814600874023
ISRG,0.003696504947113246
TXN,0.001492338259100911
WDAY,0.0
WBA,0.0
RIVN,0.0
CELG,0.0
CERN,0.0
CHTR,0.0
CCEP,0.0
CDNS,0.0
VSNT,0.0
UAL,0.0
AXON,0.0
BKR,0.0
ANSS,0.0
CHKP,0.0
AEP,0.0
ALGN,0.0
ADSK,0.0
ADI,0.0
ALNY,0.0
ALXN,0.0
ABNB,0.0
AMZN,0.0
QQQ,0.0
AAL,0.0
CDW,0.0
BMRN,0.0
EA,0.0
CSGP,0.0
CSX,0.0
CTAS,0.0
MSFT,0.0
MPWR,0.0
KHC,0.0
LBTYA,0.0
MCHP,0.0
FOXA,0.0
HAS,0.0
HON,0.0
KDP,0.0
INSM,0.0
JBHT,0.0
JD,0.0
ILMN,0.0
INCY,0.0
HSIC,0.0
CMCSA,0.0
GEHC,0.0
FI,0.0
FOX,0.0
EXC,0.0
FER,0.0
FAST,0.0
EXPE,0.0
FANG,0.0
GFS,0.0
FTNT,0.0
CTXS,0.0
CTSH,0.0
DLTR,0.0
EBAY,0.0
CPRT,0.0
CSCO,0.0
WYNN,0.0
WTW,0.0
XEL,0.0
WMT,0.0
TEAM,0.0
SHOP,0.0
SGEN,0.0
SIRI,0.0
PAYX,0.0
TTWO,0.0
TRI,0.0
LBTYK,0.0
LIN,0.0
MAR,0.0
MNST,0.0
MDB,0.0
IDXX,0.0
ROST,0.0
ON,0.0
ORLY,0.0
PYPL,0.0
ROP,0.0
PCAR,0.0
OKTA,0.0
NTAP,0.0
NTES,0.0
NXPI,0.0
ODFL,0.0
MXIM,0.0
MYL,0.0
NLOK,0.0
MTCH,0.0
TCOM,0.0
SPLK,0.0
SOLS,0.0
TTD,0.0
SNPS,0.0
VRSN,0.0
VRSK,0.0
ULTA,0.0
GOOGL,-0.00043651676473018696
SWKS,-0.0015057528880195535
INTC,-0.00164412046549514
PANW,-0.002073550127904173
MDLZ,-0.004445589986004102
PEP,-0.004612902784827667
AVGO,-0.004959254083090699
QCOM,-0.009161985280380298
BKNG,-0.011494633934314841
LRCX,-0.018620372359993642
DASH,-0.02029460267781275
KLAC,-0.027542568504590623
DXCM,-0.02927363275456334
TMUS,-0.06082711629510595
MRVL,-0.06535085080334871
CEG,-0.0677178508519713
LCID,-0.07329668183117827
ZS,-0.08799114947800288
AAPL,-0.08967354590258986
COST,-0.11067147359021275
ENPH,-0.1131450581666983
BIDU,-0.12518317288905872
SMCI,-0.12607936737712844
PTON,-0.12735953693400887
