symbol,net_pnl
TSLA,0.5943735805943805
PDD,0.4402898589868214
NVDA,0.37518770903923127
ZM,0.37067266273586397
WDC,0.24959997605237585
CRWD,0.24753456254505807
MRNA,0.24736035832958464
PLTR,0.16438067153937436
WBD,0.12795668668006502
LRCX,0.11881121125327641
STX,0.11810871216722722
MU,0.1116954127042419
META,0.09130427175153749
GILD,0.08616078613319911
APP,0.08109693629838283
AMAT,0.07949370328036866
TMUS,0.06687160977920525
REGN,0.06452299226630145
SNDK,0.05707242601032338
AVGO,0.05677577874447879
DOCU,0.0543535658005576
GOOG,0.0507690978176454
ASML,0.05034253735184608
ARM,0.04269367514527281
BKNG,0.02798686258104976
ADBE,0.026698114138917657
ISRG,0.02378500726346755
GOOGL,0.023339500310263616
INTC,0.020472557249074957
CMCSA,0.016069313736863867
JD,0.012380690541702159
SWKS,0.012254527005369378
NXPI,0.011305329298999602
KLAC,0.00952628087829262
INTU,0.008903707466753945
MDLZ,0.006428608423412664
PYPL,0.005942846725065782
COST,0.0057860810274049275
ATVI,0.0044163461853746495
MTCH,0.004368572227157978
PEP,0.002592027548436593
MELI,0.001798432113331395
HON,0.001190103171868838
MSFT,0.0007985142328364484
ON,0.0003270780412010454
UAL,0.0
TCOM,0.0
TRI,0.0
TTD,0.0
LBTYK,0.0
VSNT,0.0
VRSN,0.0
ROST,0.0
ADSK,0.0
ALGN,0.0
BKR,0.0
AXON,0.0
BMRN,0.0
CDW,0.0
ALNY,0.0
ANSS,0.0
AEP,0.0
AAL,0.0
CERN,0.0
CHKP,0.0
QQQ,0.0
CELG,0.0
CCEP,0.0
CDNS,0.0
WYNN,0.0
WDAY,0.0
WTW,0.0
ULTA,0.0
WBA,0.0
ILMN,0.0
IDXX,0.0
JBHT,0.0
FANG,0.0
FAST,0.0
EXC,0.0
FOXA,0.0
INSM,0.0
INCY,0.0
MCHP,0.0
GFS,0.0
LBTYA,0.0
KHC,0.0
KDP,0.0
FOX,0.0
GEHC,0.0
FTNT,0.0
FI,0.0
CSGP,0.0
EA,0.0
CTXS,0.0
DLTR,0.0
FER,0.0
EXPE,0.0
CTAS,0.0
CTSH,0.0
CPRT,0.0
XEL,0.0
WMT,0.0
VRSK,0.0
SNPS,0.0
TTWO,0.0
SOLS,0.0
SPLK,0.0
PCAR,0.0
SGEN,0.0
SIRI,0.0
NLOK,0.0
OKTA,0.0
ODFL,0.0
MPWR,0.0
MNST,0.0
MAR,0.0
HAS,0.0
HSIC,0.0
ROP,0.0
ORLY,0.0
NTES,0.0
PAYX,0.0
RIVN,0.0
MYL,0.0
MXIM,0.0
NTAP,0.0
EBAY,-0.0012939958037587887
ABNB,-0.002778835978835969
CSX,-0.002901578132752742
BIIB,-0.003986910386192431
LIN,-0.0041712232671107154
CHTR,-0.004722515560663563
SMCI,-0.005930509243798209
AZN,-0.006023371401621324
AMD,-0.006195277703231409
AMZN,-0.008223965296916241
SHOP,-0.00926711151810827
CSCO,-0.009891870027641055
NFLX,-0.011948918370089798
ALXN,-0.012036738283181397
ADP,-0.013610365934227093
ADI,-0.013743088878558348
ENPH,-0.014185981191802085
PANW,-0.015570457634492814
PTON,-0.017334609785805824
SBUX,-0.01759162609364209
CEG,-0.018584134956502303
TEAM,-0.025241433650427574
TXN,-0.027724314127492957
MSTR,-0.028970445928155817
MDB,-0.029868545081971756
DASH,-0.03712907742866657
VRTX,-0.03781899240866557
XLNX,-0.03840154587935496
DXCM,-0.04041094025572713
BIDU,-0.040684345303549925
QCOM,-0.04148342380547232
LULU,-0.06573201934247853
ZS,-0.06866395456941665
AAPL,-0.07716096881739633
MRVL,-0.08099546990275343
AMGN,-0.0940178483378184
LCID,-0.13530300992580538
DDOG,-0.1513599021037877
