symbol,net_pnl
WDC,0.06698116479605813
STX,0.04262909462549572
SNDK,0.04140020612534535
AVGO,0.03980826975884151
PLTR,0.03587661188182698
DHI,0.0323570218488456
APH,0.029934971919022682
META,0.028010471128820335
WMT,0.027445199220223464
CAH,0.0272304613772426
MNST,0.0271394090159288
GEV,0.026037573258219038
GE,0.025268908152712866
TER,0.02422713903976736
MSI,0.024005526807629643
PGR,0.02303484850194872
MCK,0.02243524427085262
ROST,0.019655994079368272
EBAY,0.0188083250918437
CMG,0.018754111164829758
LHX,0.01705618239785188
BKNG,0.0165394893178621
GILD,0.016405765836577393
HAL,0.01634260861184834
CI,0.01570499689074246
TWTR,0.015405374154794356
BSX,0.015021581287353593
CSCO,0.014686770120373904
TT,0.013941280217335896
NOW,0.012470362581050042
FANG,0.012279526437424549
PCG,0.012237507603362407
LEN,0.011780184687439684
NOC,0.01175048507087619
MRO,0.011350063036072076
HLT,0.010873918016241506
AMAT,0.010814313467308035
ALL,0.010774392630779827
TTWO,0.010654741305209239
WELL,0.010517498029314051
SNPS,0.010075605933394755
APA,0.009451815885699015
FI,0.009183685434690753
LITE,0.008911818208504719
GM,0.008745777544824102
MU,0.008502589387715491
LRCX,0.008187395526389305
NVDA,0.008089674172846265
ADBE,0.00802807947511491
AMZN,0.008003887921392554
GD,0.00797817817695125
IBM,0.007943609154074004
PSX,0.007669164094896125
MS,0.0076059644211243956
KLAC,0.007404372507868877
JNJ,0.007238457853695897
KMI,0.00704324488299149
ABBV,0.0070030502109278215
GLW,0.006509293448044795
CERN,0.00626262599838173
REGN,0.005941135515914648
DPZ,0.005937342236037445
DVN,0.0057543685718983145
HSY,0.005710515291781709
ATVI,0.005654844060336781
CF,0.005633444568761405
HES,0.005521308488302398
CTAS,0.005500415993276368
INTC,0.005388892206326247
ORCL,0.005190708200783373
WYNN,0.004666396483386347
LMT,0.004618904778144793
LIN,0.0045498739706343605
ISRG,0.004370403464758318
CARR,0.004063493675507292
ROP,0.004030130002256064
FICO,0.003846004772609573
NRG,0.003794071382449777
DOW,0.0036443188871520217
MMM,0.0034948602563030216
CTVA,0.003465555952274183
CTSH,0.0034541593551172855
BA,0.003416064045677779
TEL,0.0033171606413768665
C,0.0031008510298382694
ECL,0.0030774105581275754
CME,0.002891849163641153
PH,0.0028871116690857793
CRM,0.0028846396685714847
CL,0.0027663561049653088
COP,0.0026879894315542116
WMB,0.002553099070923037
BKR,0.002416065455616638
CB,0.0023723279654378495
CVX,0.0023375147343367244
PSA,0.002248186014189868
MRK,0.00214626822969993
BX,0.0021133378869209653
ANTM,0.0018439045525006947
EOG,0.0018378835142919866
PM,0.0017518657642705052
EQT,0.001729146351130857
COR,0.0016692271751804144
UNH,0.0016654803251656934
DLR,0.001629712213803263
AFL,0.0014631306548286364
PEG,0.0014294562680854568
MET,0.0013934041423047747
TDG,0.001263969207699064
ICE,0.0012276096645748526
FTNT,0.001179051581751552
SCHW,0.0010156157615256883
F,0.0010122338534901709
PLD,0.0009113709728167537
PG,0.0008084658689209596
STZ,0.0007093219348746414
ETN,0.0006012586312361676
TSCO,0.000517033653410127
MAR,0.0004727832079869656
NSC,0.00046624129124598745
PWR,0.00043844188559478725
KO,0.0002623458551202773
CNC,0.00024843966870620227
DAL,0.00020612383293687532
ALGN,6.267758205593307e-05
DASH,5.409535488305753e-05
AXP,4.1942893727818896e-05
PFE,3.928873251014418e-05
XYZ,0.0
XYL,0.0
XRAY,0.0
ZBH,0.0
WY,0.0
VZ,0.0
VTRS,0.0
PPL,0.0
PPG,0.0
POOL,0.0
PODD,0.0
PNW,0.0
PNR,0.0
PNC,0.0
ZION,0.0
CPT,0.0
CPRT,0.0
CPB,0.0
CPAY,0.0
COO,0.0
COIN,0.0
COHR,0.0
COG,0.0
DAY,0.0
D,0.0
CZR,0.0
CVNA,0.0
CTXS,0.0
CTLT,0.0
CSGP,0.0
UPS,0.0
UNP,0.0
UNM,0.0
UHS,0.0
UDR,0.0
UAA,0.0
UA,0.0
TYL,0.0
TXT,0.0
TXN,0.0
DISH,0.0
DISCK,0.0
DISCA,0.0
DIS,0.0
DGX,0.0
DFS,0.0
DELL,0.0
DECK,0.0
DDOG,0.0
DD,0.0
CMS,0.0
CMCSA,0.0
CMA,0.0
CLX,0.0
CINF,0.0
CIEN,0.0
CHRW,0.0
CRL,0.0
CRH,0.0
ED,0.0
DXC,0.0
DVA,0.0
DTE,0.0
DRI,0.0
DRE,0.0
DOV,0.0
DOC,0.0
ES,0.0
ERIE,0.0
EQR,0.0
EQIX,0.0
EPAM,0.0
EMR,0.0
EMN,0.0
EME,0.0
ELV,0.0
EL,0.0
EIX,0.0
EG,0.0
EFX,0.0
FBHS,0.0
FB,0.0
FAST,0.0
EXR,0.0
EXPE,0.0
EXPD,0.0
EXE,0.0
EW,0.0
EVRG,0.0
ESS,0.0
TTD,0.0
TSN,0.0
TROW,0.0
TRMB,0.0
TPL,0.0
TKO,0.0
TGT,0.0
FOXA,0.0
FOX,0.0
FMC,0.0
FLT,0.0
FLIR,0.0
FIX,0.0
FISV,0.0
FFIV,0.0
FE,0.0
FDS,0.0
VICI,0.0
VIAC,0.0
VFC,0.0
USB,0.0
CHD,0.0
CFG,0.0
CE,0.0
CDW,0.0
CDAY,0.0
CBRE,0.0
CBOE,0.0
CASY,0.0
CNP,0.0
GL,0.0
GEN,0.0
GEHC,0.0
GDDY,0.0
FTV,0.0
FRT,0.0
FRC,0.0
HBI,0.0
HBAN,0.0
HAS,0.0
GWW,0.0
GRMN,0.0
GPS,0.0
GPN,0.0
GPC,0.0
GNRC,0.0
TFX,0.0
TFC,0.0
TECH,0.0
TDY,0.0
TAP,0.0
SYY,0.0
SYF,0.0
SWKS,0.0
SWK,0.0
SW,0.0
HUBB,0.0
HST,0.0
HSIC,0.0
HRL,0.0
HPQ,0.0
HOOD,0.0
HON,0.0
HOLX,0.0
HII,0.0
HIG,0.0
HFC,0.0
IPGP,0.0
IPG,0.0
IP,0.0
INVH,0.0
INFO,0.0
INCY,0.0
ILMN,0.0
IFF,0.0
IEX,0.0
WAB,0.0
IBKR,0.0
K,0.0
JNPR,0.0
JKHY,0.0
JBL,0.0
JBHT,0.0
J,0.0
IVZ,0.0
ITW,0.0
IT,0.0
IRM,0.0
IR,0.0
LDOS,0.0
LB,0.0
L,0.0
KVUE,0.0
BXP,0.0
BWA,0.0
BRO,0.0
BR,0.0
BLL,0.0
BLDR,0.0
VTR,0.0
VST,0.0
VRT,0.0
VRSN,0.0
VNO,0.0
VMC,0.0
VLTO,0.0
KSU,0.0
PTC,0.0
KMX,0.0
KKR,0.0
KIM,0.0
KHC,0.0
KEYS,0.0
KEY,0.0
LUMN,0.0
LNT,0.0
LNC,0.0
LKQ,0.0
LII,0.0
LH,0.0
LEG,0.0
STLD,0.0
STE,0.0
SPGI,0.0
SPG,0.0
SOLV,0.0
SOLS,0.0
BIO,0.0
BG,0.0
BF.B,0.0
BEN,0.0
BDX,0.0
BBY,0.0
BBWI,0.0
BAX,0.0
BALL,0.0
BAC,0.0
PAYX,0.0
CAG,0.0
SNA,0.0
SJM,0.0
AAL,0.0
MDT,0.0
MCO,0.0
MCHP,0.0
MAS,0.0
PSKY,0.0
MAA,0.0
LYB,0.0
LW,0.0
LUV,0.0
MPWR,0.0
MOS,0.0
MOH,0.0
MKTX,0.0
MKC,0.0
MHK,0.0
MGM,0.0
SIVB,0.0
SEE,0.0
PRU,0.0
SBNY,0.0
SBAC,0.0
SATS,0.0
RVTY,0.0
ROL,0.0
ROK,0.0
NDSN,0.0
NDAQ,0.0
NCLH,0.0
MXIM,0.0
MTD,0.0
MTCH,0.0
MTB,0.0
MRSH,0.0
NWL,0.0
ALLE,0.0
AWK,0.0
AVY,0.0
AVB,0.0
ATO,0.0
ARES,0.0
ARE,0.0
APTV,0.0
APO,0.0
AOS,0.0
NVR,0.0
NTRS,0.0
PRGO,0.0
NOV,0.0
NLSN,0.0
NLOK,0.0
NI,0.0
PAYC,0.0
PARA,0.0
OTIS,0.0
OMC,0.0
OKE,0.0
OGN,0.0
ODFL,0.0
O,0.0
NXPI,0.0
NWSA,0.0
NWS,0.0
RMD,0.0
RL,0.0
RJF,0.0
RHI,0.0
RF,0.0
REG,0.0
RE,0.0
QRVO,0.0
Q,0.0
ABMD,0.0
PVH,0.0
PKI,0.0
PKG,0.0
PHM,0.0
ACGL,0.0
PFG,0.0
WLTW,0.0
PENN,0.0
WHR,0.0
PEAK,0.0
AAP,0.0
ZBRA,0.0
ABC,0.0
WU,0.0
WTW,0.0
WST,0.0
WSM,0.0
WRK,0.0
WRB,0.0
ALK,0.0
WEC,0.0
AKAM,0.0
WDAY,0.0
WBA,0.0
WAT,0.0
A,0.0
SPY,0.0
AIZ,0.0
YUM,0.0
AES,0.0
AEE,0.0
ADSK,0.0
ADI,0.0
ABNB,0.0
ANSS,0.0
AMTM,0.0
AMT,0.0
AMP,0.0
AME,0.0
AMCR,0.0
ALXN,0.0
