symbol,net_pnl
TQQQ,0.20342053491324186
USO,0.16031293579918524
ARKK,0.1014353438525628
XLE,0.08896301930055751
GLD,0.0789526568505554
QQQ,0.06582308738720843
XLK,0.06366687556500962
XLC,0.05481056097717865
XLY,0.051325670401851105
XLB,0.035349534818892275
XLV,0.031348691164730214
XLU,0.030276220016968683
SPY,0.025931852310086843
SMH,0.02345418626624028
XLF,0.021646055611792826
XLP,0.019160179161765503
XLI,0.018074755279111007
BIL,0.015475808086412945
XLRE,0.012873411620918174
HYG,0.010899246790407128
SOXL,0.00929011791957554
SHY,0.0028518381949192437
DIA,-0.00028246991266523043
IWM,-0.008041098499386444
TLT,-0.015405670439172105
SOXS,-0.5638619994555383
SQQQ,-0.6630899444686151
