symbol,net_pnl
AVGO,0.12804270611748214
AMAT,0.10890160148646347
LRCX,0.08617361197252114
ZM,0.08097874942266484
AMZN,0.07735109124355563
JD,0.07371995348031872
GOOGL,0.06639770180760023
GILD,0.060647953403080775
CRWD,0.06014936322041133
WDC,0.06003604121887925
STX,0.05992011666250409
MU,0.05779410917540531
NFLX,0.05736509230391425
MRNA,0.05404487721058807
TMUS,0.04617612902760483
GOOG,0.044440440057681094
ISRG,0.042323003460507456
BIDU,0.040461356334159204
QCOM,0.03851193670768957
PLTR,0.037177468471923145
CSCO,0.0314647976425847
REGN,0.030592475816102162
ATVI,0.02769058341783372
INTC,0.02721293243710858
ADSK,0.02663788932954597
TXN,0.023969918870609785
TSLA,0.020168754339183106
DASH,0.013568757808177935
MRVL,0.013213704289740813
MELI,0.013091969902979693
META,0.012748167991013887
INTU,0.011070935908714245
ADP,0.010209454165803985
ASML,0.008018803278039043
NVDA,0.007667885086804515
NXPI,0.005795004765223734
ALXN,0.005438274600711406
KLAC,0.0050831172530741075
SNDK,0.004558915578400495
MCHP,0.0036572458110585497
WMT,0.0030568215430170397
MSTR,0.0026987148560707187
WDAY,0.0021393011878738373
WBD,0.002104283710761578
MSFT,0.002081134396882202
DOCU,0.0018730581457274183
AZN,0.0011782457872681208
EA,0.0005899513147837998
SWKS,0.0
PCAR,0.0
RIVN,0.0
ULTA,0.0
VRSK,0.0
ALNY,0.0
ANSS,0.0
ALGN,0.0
AXON,0.0
BMRN,0.0
AEP,0.0
CELG,0.0
CHKP,0.0
AAL,0.0
CERN,0.0
QQQ,0.0
LCID,0.0
MDB,0.0
CCEP,0.0
BKR,0.0
CDW,0.0
WYNN,0.0
VSNT,0.0
UAL,0.0
TTWO,0.0
TEAM,0.0
WBA,0.0
INCY,0.0
ILMN,0.0
FANG,0.0
FAST,0.0
EXC,0.0
FOXA,0.0
JBHT,0.0
HAS,0.0
INSM,0.0
GFS,0.0
LBTYK,0.0
LBTYA,0.0
KDP,0.0
KHC,0.0
GEHC,0.0
FTNT,0.0
FI,0.0
FOX,0.0
DLTR,0.0
CTXS,0.0
CTSH,0.0
FER,0.0
EXPE,0.0
CTAS,0.0
CSGP,0.0
CPRT,0.0
XEL,0.0
WTW,0.0
VRSN,0.0
TTD,0.0
TRI,0.0
TCOM,0.0
SOLS,0.0
SMCI,0.0
NTAP,0.0
NLOK,0.0
NTES,0.0
ODFL,0.0
OKTA,0.0
MAR,0.0
MNST,0.0
MPWR,0.0
HSIC,0.0
IDXX,0.0
SGEN,0.0
SIRI,0.0
ROST,0.0
ROP,0.0
ORLY,0.0
PAYX,0.0
MXIM,0.0
MYL,0.0
MTCH,0.0
CEG,-0.001251479267477513
DXCM,-0.002210236079557416
CMCSA,-0.0023164867038493477
HON,-0.002445436835112286
SPLK,-0.004737712111962112
CDNS,-0.006931665112380753
PTON,-0.008781970013703582
VRTX,-0.00878314372835118
ENPH,-0.00916535476044969
SHOP,-0.009453699623948148
XLNX,-0.011101162799178044
LIN,-0.011301843833816744
ON,-0.011534857233649562
ADBE,-0.012564268042413953
CSX,-0.012809747392628152
ZS,-0.014943856369394331
COST,-0.015469882678705074
SNPS,-0.016851555044746575
BIIB,-0.017502966961661478
AMD,-0.01817303529838097
EBAY,-0.01874445993954402
ARM,-0.020143678670031855
ADI,-0.021480575584977273
PYPL,-0.021726321353691257
PDD,-0.021964096856014376
PEP,-0.0241358789349417
SBUX,-0.02431684300034779
LULU,-0.026753986888345353
MDLZ,-0.026810898638728754
ABNB,-0.03033497505883524
AMGN,-0.032566933834649904
CHTR,-0.03433461553998428
APP,-0.04242638286170917
AAPL,-0.04840695501703644
PANW,-0.05550436563483256
BKNG,-0.07588016517844182
DDOG,-0.08874892435571158
