symbol,net_pnl
TQQQ,0.32810346204608615
SOXL,0.28150854810059817
QQQ,0.1814377965662188
XLE,0.17197822604448593
SMH,0.15002870982010527
SPY,0.07520392928815488
DIA,0.06525548415711253
GLD,0.058520571797856434
XLI,0.04326155997432429
XLF,0.03348909449302618
XLV,0.012030052730027593
ARKK,0.008284035482726689
XLP,0.003505942131986444
XLRE,0.0
SHY,0.0
BIL,0.0
XLB,0.0
XLC,0.0
USO,0.0
TLT,-0.003028543579268991
XLY,-0.005776571570430442
XLU,-0.007464937268772741
XLK,-0.012316452945126743
HYG,-0.013684000339136113
IWM,-0.07282895828801046
SOXS,-0.20188930976902447
SQQQ,-0.5381936681020711
