symbol,net_pnl
SNDK,0.37647807380340553
WDC,0.3152608910566276
PLTR,0.270872526074191
STX,0.14188182229230548
MU,0.10371892266955601
NFLX,0.08157737707216646
ANET,0.07804159665993002
MPC,0.07331738234829203
LITE,0.05230484746282923
FICO,0.04812668927300542
AVGO,0.046952477723420684
TER,0.04294310594809688
BA,0.0388101721153013
MRO,0.03628852295453508
DHI,0.036038871078798725
APA,0.034763555734179996
TTWO,0.03342573176261406
ETSY,0.031123783645418412
TWTR,0.030927156327244992
PGR,0.02990334794294769
APH,0.029816753734678157
MPWR,0.0287606970143258
FANG,0.027463984388775432
LRCX,0.027183263558333677
HES,0.02606706610417154
NEM,0.026001602020397037
CI,0.025179625351496086
TSLA,0.024761591467601006
COP,0.02417458344042336
META,0.02381396267560136
WYNN,0.02337458623899755
FI,0.021194116711053528
PSX,0.02089594355148777
TMUS,0.019520125756498627
ISRG,0.016697728107818107
WELL,0.016685877637858944
NOW,0.014834333018188366
VRTX,0.013700793890483466
ALL,0.013356023328190135
CAH,0.013294087706439247
GOOGL,0.01268204256391713
ADBE,0.012260505766749466
AXP,0.01173000361278675
SNPS,0.011252038380067554
MCK,0.011191982090226697
ULTA,0.010960406655387783
PANW,0.00982771862600369
NEE,0.009585863919077701
SLB,0.009151464297948936
KR,0.008927975696954063
WBD,0.008458517408659794
BKNG,0.007472601096559823
GE,0.007390130142687958
ATVI,0.006790767592223913
ALB,0.006683644695071716
FCX,0.0064907338847680785
ALGN,0.006386028639159146
GIS,0.006163057753722552
INTU,0.006100646466933125
DPZ,0.00591879259307059
CME,0.004753469274867319
GM,0.0041300398912247705
GEV,0.0039009646009293703
SYK,0.0036050619514267713
GOOG,0.0034907045878037088
AMZN,0.002608583013031853
LULU,0.002044970543911164
XOM,0.0016039438754378126
CRM,0.0013177622371576179
MMM,0.0006976953705766142
ROST,0.00026643717579927196
WMB,0.00010021467434751365
AVB,0.0
AVY,0.0
AWK,0.0
ALXN,0.0
AMCR,0.0
AME,0.0
AMP,0.0
BAC,0.0
BALL,0.0
BAX,0.0
BBWI,0.0
BBY,0.0
BDX,0.0
BEN,0.0
BF.B,0.0
BG,0.0
BIO,0.0
BK,0.0
BKR,0.0
BLDR,0.0
APD,0.0
CHD,0.0
CHRW,0.0
CHTR,0.0
BLK,0.0
BLL,0.0
BR,0.0
BRK.B,0.0
BRO,0.0
BWA,0.0
BX,0.0
BXP,0.0
C,0.0
CAG,0.0
CASY,0.0
CAT,0.0
CMS,0.0
CNC,0.0
CNP,0.0
COF,0.0
COG,0.0
COHR,0.0
CB,0.0
CBOE,0.0
CBRE,0.0
CCI,0.0
CDAY,0.0
CDNS,0.0
CDW,0.0
CE,0.0
CERN,0.0
CFG,0.0
CPT,0.0
CRH,0.0
CRL,0.0
CSCO,0.0
CSGP,0.0
CSX,0.0
CIEN,0.0
CINF,0.0
CL,0.0
CLX,0.0
CMA,0.0
CMCSA,0.0
CMI,0.0
CVNA,0.0
CVS,0.0
CZR,0.0
D,0.0
DAL,0.0
DAY,0.0
DD,0.0
DDOG,0.0
COIN,0.0
COO,0.0
COR,0.0
COST,0.0
CPAY,0.0
CPB,0.0
CPRT,0.0
VICI,0.0
VLTO,0.0
VMC,0.0
VNO,0.0
VRSN,0.0
VRT,0.0
VST,0.0
VTR,0.0
VTRS,0.0
VZ,0.0
CTAS,0.0
CTLT,0.0
CTSH,0.0
CTVA,0.0
CTXS,0.0
DE,0.0
DECK,0.0
DELL,0.0
DFS,0.0
DGX,0.0
DHR,0.0
DIS,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
DOC,0.0
DOV,0.0
V,0.0
VFC,0.0
VIAC,0.0
ES,0.0
ESS,0.0
ETN,0.0
DOW,0.0
DRE,0.0
DRI,0.0
DTE,0.0
DUK,0.0
DVA,0.0
DXC,0.0
EA,0.0
ECL,0.0
ED,0.0
EFX,0.0
EG,0.0
FAST,0.0
FB,0.0
FBHS,0.0
FDS,0.0
EIX,0.0
EL,0.0
ELV,0.0
EME,0.0
EMN,0.0
EMR,0.0
EPAM,0.0
EQIX,0.0
EQR,0.0
ERIE,0.0
FLIR,0.0
FLT,0.0
FOX,0.0
FOXA,0.0
FRC,0.0
FRT,0.0
ETR,0.0
EVRG,0.0
EW,0.0
EXC,0.0
EXE,0.0
EXPD,0.0
EXR,0.0
F,0.0
GEHC,0.0
GEN,0.0
GL,0.0
GNRC,0.0
FE,0.0
FFIV,0.0
FIS,0.0
FISV,0.0
FITB,0.0
FIX,0.0
TYL,0.0
UA,0.0
UAA,0.0
UBER,0.0
UDR,0.0
UHS,0.0
UNH,0.0
UNM,0.0
UNP,0.0
UPS,0.0
USB,0.0
FTV,0.0
GD,0.0
GDDY,0.0
GPC,0.0
GPN,0.0
GPS,0.0
GRMN,0.0
GWW,0.0
HAS,0.0
HBAN,0.0
HBI,0.0
HCA,0.0
HD,0.0
HFC,0.0
HIG,0.0
TXN,0.0
TXT,0.0
IQV,0.0
IR,0.0
IRM,0.0
HII,0.0
FMC,0.0
HOLX,0.0
HON,0.0
HOOD,0.0
HPE,0.0
HPQ,0.0
HRL,0.0
HSIC,0.0
HST,0.0
HSY,0.0
HUBB,0.0
IBKR,0.0
JNPR,0.0
JPM,0.0
K,0.0
KDP,0.0
KEYS,0.0
ICE,0.0
IEX,0.0
IFF,0.0
ILMN,0.0
INCY,0.0
INFO,0.0
ALLE,0.0
INVH,0.0
IP,0.0
IPG,0.0
IPGP,0.0
KVUE,0.0
L,0.0
LB,0.0
LDOS,0.0
LEG,0.0
LEN,0.0
WSM,0.0
IT,0.0
ITW,0.0
IVZ,0.0
J,0.0
JBHT,0.0
JBL,0.0
JCI,0.0
JKHY,0.0
JNJ,0.0
LNT,0.0
LOW,0.0
ABC,0.0
ADM,0.0
LUMN,0.0
LUV,0.0
KHC,0.0
KIM,0.0
KKR,0.0
KLAC,0.0
KMB,0.0
KMI,0.0
KMX,0.0
KO,0.0
ZTS,0.0
KSU,0.0
MCHP,0.0
SPY,0.0
MCO,0.0
MDLZ,0.0
MDT,0.0
MET,0.0
HLT,0.0
MGM,0.0
LH,0.0
LHX,0.0
LII,0.0
LIN,0.0
A,0.0
LKQ,0.0
LMT,0.0
LNC,0.0
TRMB,0.0
TROW,0.0
TRV,0.0
TSCO,0.0
ADI,0.0
TSN,0.0
TTD,0.0
ADP,0.0
ADSK,0.0
LW,0.0
LYB,0.0
MA,0.0
MAA,0.0
MAR,0.0
MAS,0.0
MCD,0.0
MKC,0.0
MKTX,0.0
MLM,0.0
MMC,0.0
AEE,0.0
MNST,0.0
MO,0.0
MOH,0.0
AEP,0.0
AES,0.0
AFL,0.0
MRSH,0.0
TKO,0.0
TMO,0.0
AIG,0.0
TPL,0.0
MS,0.0
MSCI,0.0
MSFT,0.0
MSI,0.0
MTB,0.0
MTCH,0.0
MTD,0.0
AIZ,0.0
MXIM,0.0
NDAQ,0.0
NDSN,0.0
AJG,0.0
AKAM,0.0
ALK,0.0
NI,0.0
MHK,0.0
PARA,0.0
PAYC,0.0
PAYX,0.0
PBCT,0.0
NKE,0.0
NLOK,0.0
NLSN,0.0
NOV,0.0
AAP,0.0
NSC,0.0
NTRS,0.0
AMT,0.0
NVR,0.0
NWL,0.0
NWS,0.0
NWSA,0.0
PG,0.0
AMTM,0.0
PH,0.0
PHM,0.0
PKG,0.0
PKI,0.0
PLD,0.0
ANSS,0.0
NXPI,0.0
O,0.0
ODFL,0.0
OGN,0.0
OKE,0.0
OMC,0.0
OTIS,0.0
ANTM,0.0
PRGO,0.0
PRU,0.0
PSA,0.0
PSKY,0.0
AON,0.0
PTC,0.0
PVH,0.0
PWR,0.0
PCAR,0.0
PCG,0.0
PEAK,0.0
PEG,0.0
PENN,0.0
PEP,0.0
PFE,0.0
PFG,0.0
TAP,0.0
TDG,0.0
TDY,0.0
TECH,0.0
TEL,0.0
AOS,0.0
TFC,0.0
TFX,0.0
TJX,0.0
PNC,0.0
PNR,0.0
PNW,0.0
PODD,0.0
POOL,0.0
PPG,0.0
PPL,0.0
Q,0.0
QRVO,0.0
RE,0.0
REG,0.0
RF,0.0
RHI,0.0
RJF,0.0
RL,0.0
RMD,0.0
ROK,0.0
ROL,0.0
SWK,0.0
SWKS,0.0
NUE,0.0
WAB,0.0
SYY,0.0
WAT,0.0
RSG,0.0
RTX,0.0
RVTY,0.0
SATS,0.0
SBAC,0.0
SBNY,0.0
SCHW,0.0
SEDG,0.0
SEE,0.0
SHW,0.0
SIVB,0.0
SJM,0.0
WBA,0.0
