symbol,net_pnl
TQQQ,0.3389642021969597
SOXL,0.3310238175555479
SMH,0.2470996516297963
QQQ,0.17141261504105174
XLE,0.16938354153935697
GLD,0.08284136781514037
SPY,0.062359116782186114
DIA,0.041878543019376734
XLI,0.0249630004342189
XLU,0.021741092199594168
XLK,0.02135185108271903
XLV,0.013460455744405863
XLP,0.005928681010952448
XLF,0.002876979851465872
TLT,0.0002514663214478505
BIL,0.0
SHY,0.0
USO,0.0
XLB,0.0
XLRE,0.0
XLC,0.0
XLY,0.0
ARKK,-0.013961156073505003
HYG,-0.017406027410746993
IWM,-0.0342028935964444
SOXS,-0.20188930976902447
SQQQ,-0.675219322720501
