symbol,net_pnl
QQQ,0.23666874954344336
XLE,0.19884658160756288
SMH,0.14135491866467156
TQQQ,0.13328180739934872
DIA,0.06523130693930025
SPY,0.05467772318863773
XLF,0.036924700283168334
XLI,0.028180881083080065
HYG,0.023828456667365456
XLV,0.01640505358562849
XLP,0.008089737720176505
GLD,0.0022982320262618775
XLRE,0.0
XLY,0.0
XLB,0.0
BIL,0.0
SHY,0.0
XLC,0.0
USO,0.0
XLK,-0.002176747608324981
TLT,-0.009665326661258508
SOXL,-0.025988063414157127
ARKK,-0.02631442484937994
XLU,-0.04315606927479919
IWM,-0.06467802734968961
SOXS,-0.10729903982080151
SQQQ,-0.40471661225718525
