symbol,net_pnl
NVDA,0.20651697487963858
MRNA,0.1697860495918937
LRCX,0.15327208345863108
TSLA,0.13571925125041354
ZM,0.12365240533828403
STX,0.12249989836532703
WDC,0.1209796411324145
MU,0.0962069609092904
AVGO,0.08972661388031897
PDD,0.08460069200036016
AMAT,0.0732126417710797
MELI,0.07320884098289364
JD,0.07152759915761527
PLTR,0.06496221463719506
CSCO,0.04523042677349372
NFLX,0.04333533788534718
MRVL,0.04286326710063281
TMUS,0.042843558287647174
ABNB,0.04026977570877531
META,0.03630943067948308
PANW,0.034577797337986826
GOOGL,0.03296812619793102
GOOG,0.030808356060285803
AMZN,0.028203006565036683
SHOP,0.027403600153389097
KLAC,0.024642668233534445
DOCU,0.024360386017809852
DASH,0.021743490594664756
CRWD,0.021584127349071214
PYPL,0.02123827671007453
WBD,0.020714470363222628
ASML,0.018888599798142676
GILD,0.017184176022049184
REGN,0.015372659350399968
INTU,0.014015459888434662
DXCM,0.012489043169391086
EBAY,0.011553517475880602
VRTX,0.009817680963968053
MSFT,0.00946087906523009
MCHP,0.008165030886972319
MSTR,0.007586951114112271
TXN,0.005835201914539487
BIIB,0.004042516468000154
ALXN,0.003586804511688197
SPLK,0.003446771008769419
AAPL,0.0030035933036628194
ARM,0.002439610719089997
NXPI,0.0018916006546250024
MDB,0.0010493743589383312
PAYX,0.0
TCOM,0.0
INCY,0.0
JBHT,0.0
ADSK,0.0
AEP,0.0
AZN,0.0
AXON,0.0
BMRN,0.0
BKR,0.0
ANSS,0.0
ALGN,0.0
ALNY,0.0
QQQ,0.0
AAL,0.0
CHKP,0.0
CCEP,0.0
CERN,0.0
CELG,0.0
CDW,0.0
WYNN,0.0
UAL,0.0
TTD,0.0
TTWO,0.0
RIVN,0.0
SIRI,0.0
SGEN,0.0
ROST,0.0
FANG,0.0
EXPE,0.0
EXC,0.0
HAS,0.0
FOX,0.0
GFS,0.0
FTNT,0.0
FOXA,0.0
LBTYK,0.0
MNST,0.0
LCID,0.0
LBTYA,0.0
FER,0.0
FI,0.0
FAST,0.0
EA,0.0
GEHC,0.0
CTXS,0.0
CSGP,0.0
CTSH,0.0
DLTR,0.0
CTAS,0.0
CPRT,0.0
CMCSA,0.0
XEL,0.0
WBA,0.0
WTW,0.0
WMT,0.0
VRSN,0.0
VSNT,0.0
VRSK,0.0
ULTA,0.0
TRI,0.0
SWKS,0.0
SOLS,0.0
TEAM,0.0
KHC,0.0
KDP,0.0
MAR,0.0
MPWR,0.0
ILMN,0.0
IDXX,0.0
HSIC,0.0
INSM,0.0
NTES,0.0
ROP,0.0
PCAR,0.0
ODFL,0.0
ORLY,0.0
ON,0.0
OKTA,0.0
MYL,0.0
NTAP,0.0
NLOK,0.0
MXIM,0.0
MTCH,0.0
SMCI,0.0
SNDK,0.0
BIDU,-0.0006899670799446599
CDNS,-0.0010531160835056837
ISRG,-0.0012981875283416362
LIN,-0.003262191295443003
HON,-0.0034680411087428856
MDLZ,-0.0035276630936999964
XLNX,-0.006174402470427258
WDAY,-0.006829427562203141
LULU,-0.006869468641264475
CSX,-0.008637741596376643
SBUX,-0.008673597843090207
INTC,-0.00948566075055696
ADP,-0.009918296683111442
CHTR,-0.01142254524401688
COST,-0.01212938159428897
ADI,-0.013731764666546716
ATVI,-0.01533670738896987
ENPH,-0.01651380980698425
SNPS,-0.018117306909340627
PTON,-0.019247483902734966
QCOM,-0.025716643590036347
ZS,-0.02672089505630654
AMGN,-0.03329493784490558
AMD,-0.03383191477222519
ADBE,-0.03426462327860421
BKNG,-0.03964329090073889
CEG,-0.041814467839613984
PEP,-0.04309581556579725
APP,-0.060311468493918004
DDOG,-0.07022379956844693
