symbol,net_pnl
ZM,0.460750430224517
TSLA,0.3982773949029185
PLTR,0.20176222290200393
WDC,0.17634449741258204
GOOGL,0.12222088420108411
DOCU,0.11196997183143106
CRWD,0.1070753673268521
AMAT,0.10300738679250904
LRCX,0.09110672742002156
STX,0.079218376163247
MELI,0.07189379466186271
REGN,0.0699001398758069
MRVL,0.06702596613221404
GILD,0.06163080229293375
MRNA,0.05540781553978033
ISRG,0.04794519769079632
SNDK,0.046942768791287136
JD,0.04464837226021647
MSFT,0.042914470894620416
TMUS,0.039106916805192855
INTU,0.03657531943728372
GOOG,0.02740723929407415
SNPS,0.02569343505549907
NFLX,0.02032233459540022
DXCM,0.01761527013302737
DASH,0.016763881620217302
APP,0.014925944363677989
BKNG,0.012729627464912727
KLAC,0.009717748923286222
PDD,0.006993936835784064
AZN,0.005921663093381839
META,0.00539710875286375
AMZN,0.003703158555383199
ALXN,0.002576979587106548
BIIB,0.0021428340097137564
ASML,0.0012422381298345165
MCHP,6.974924779769042e-05
ADI,5.7969488370203734e-05
XEL,0.0
ULTA,0.0
VRSK,0.0
WYNN,0.0
WTW,0.0
VRSN,0.0
VSNT,0.0
WMT,0.0
TCOM,0.0
TEAM,0.0
ORLY,0.0
WBA,0.0
CCEP,0.0
BMRN,0.0
CDNS,0.0
ADSK,0.0
ALNY,0.0
ALGN,0.0
AXON,0.0
BKR,0.0
ANSS,0.0
AEP,0.0
CHKP,0.0
AAL,0.0
CDW,0.0
CERN,0.0
QQQ,0.0
CELG,0.0
FOXA,0.0
GEHC,0.0
FOX,0.0
LBTYK,0.0
LBTYA,0.0
KDP,0.0
KHC,0.0
ILMN,0.0
INCY,0.0
INSM,0.0
GFS,0.0
FANG,0.0
FAST,0.0
EXC,0.0
JBHT,0.0
HAS,0.0
HON,0.0
HSIC,0.0
IDXX,0.0
MPWR,0.0
MNST,0.0
MAR,0.0
MDB,0.0
LCID,0.0
FTNT,0.0
FI,0.0
CTSH,0.0
DLTR,0.0
CTXS,0.0
EA,0.0
FER,0.0
EXPE,0.0
CPRT,0.0
CTAS,0.0
CSGP,0.0
UAL,0.0
TTWO,0.0
SWKS,0.0
TRI,0.0
SOLS,0.0
ROP,0.0
RIVN,0.0
TTD,0.0
SPLK,0.0
ON,0.0
ODFL,0.0
OKTA,0.0
NLOK,0.0
MTCH,0.0
MYL,0.0
MXIM,0.0
SGEN,0.0
SHOP,0.0
SIRI,0.0
PAYX,0.0
ROST,0.0
NTAP,0.0
NXPI,0.0
NTES,0.0
PCAR,0.0
SBUX,-0.0008784452984090274
CSX,-0.0009882368695939589
MSTR,-0.0013303012544741085
INTC,-0.0015824511703450173
EBAY,-0.0027549281252032655
TXN,-0.004395997246598674
NVDA,-0.005291342620870091
LIN,-0.005601369795937366
MU,-0.005784297247631088
CMCSA,-0.0058658461026131585
WDAY,-0.005882074425360698
ATVI,-0.007590048978854748
ADP,-0.008957042714748122
LULU,-0.013680867740372379
AAPL,-0.015473545307284876
CSCO,-0.01598000348214027
CEG,-0.021092976274126884
CHTR,-0.02223531607634497
VRTX,-0.023924278412681795
AVGO,-0.024026700731151835
BIDU,-0.027498176163147953
SMCI,-0.028464231961023642
PANW,-0.029464623663943892
ZS,-0.03462378064411657
MDLZ,-0.03666353590598469
PEP,-0.03682269099823564
ENPH,-0.04087496246501786
AMD,-0.045174781691605714
QCOM,-0.047360750871262645
WBD,-0.0483920093522434
PTON,-0.05037391925262012
ABNB,-0.05983059205657825
ARM,-0.06225224658046174
COST,-0.0633125055483665
XLNX,-0.06767746172489363
ADBE,-0.0758960830044566
AMGN,-0.08529953328524824
PYPL,-0.08784244888039788
DDOG,-0.09546545938490358
