symbol,net_pnl
SNDK,0.18823903690170277
WDC,0.17179567547457883
STX,0.16255129005629515
PLTR,0.12449499400639717
MU,0.08164197388725898
AVGO,0.06466322787832827
TER,0.05817390026835337
NVDA,0.053978326710014145
OXY,0.0419495121507011
RCL,0.037506511277109904
APH,0.03698742787878416
LVS,0.03617228873797642
APA,0.03340479196731137
BA,0.032921111095578166
INTC,0.03286337490740361
FICO,0.029634496564696477
DHI,0.027590653963916904
LITE,0.026513996020328907
MCK,0.025136131339471176
NEM,0.022740307016378435
TPR,0.022012058383961808
PGR,0.02172642142489551
META,0.021512965665860403
SNPS,0.021192209290591194
NOC,0.019783902939953205
KLAC,0.01958749117494659
PSX,0.019276066533703656
EBAY,0.018847912889654535
ALGN,0.01838669176481136
XOM,0.018322617253784125
MRO,0.018178812094853124
REGN,0.01789957514261195
LRCX,0.01690492880986013
TWTR,0.016389574763950948
GLW,0.016368474149198373
GEV,0.01630902641426988
ETN,0.015741491421166914
GOOG,0.014725966255355858
HUM,0.014003745008456282
GE,0.013933016207720455
WYNN,0.013903421697053983
CAH,0.013725474903787347
AMD,0.013309290495205446
CMG,0.013236761998274331
UAL,0.012903010827699181
CI,0.0127044213078636
NFLX,0.012262185169078125
PANW,0.010452190088501343
COP,0.010147181139917565
TTWO,0.01002145728700812
URI,0.009439896475568985
FI,0.00902755273003197
KMI,0.008690409789285296
TMUS,0.008397656808641428
ANET,0.0081604065159578
CF,0.008125652062703055
FTNT,0.0078207640942524
ALB,0.0073764692648446125
DLR,0.007221666568027419
PM,0.007169828612528272
ALL,0.0071179986619137586
EOG,0.007042887855137741
ISRG,0.006714691949254763
DVN,0.006603574437292504
MNST,0.006553642379681499
HSY,0.006507405980920431
PWR,0.005865456990529747
DPZ,0.005855395026471468
T,0.0057072894299478
RTX,0.005400849654008027
AAPL,0.005143520390595258
HWM,0.004858752852643784
KR,0.004786601527506959
LUV,0.0045144872423094244
NEE,0.004164862624143982
ORLY,0.004063677027888419
BX,0.004055760540734441
DOW,0.00404857167031971
CDNS,0.0039378765083817
FIS,0.003937833782294222
CTAS,0.0037467091737318414
SYK,0.003680001244886236
VST,0.003632608960705435
APD,0.0036305344665136328
ODFL,0.0036068971039407895
TEL,0.0035261932867499653
WBD,0.0033365823346899783
LEN,0.0032646410139857136
INTU,0.0032306489162302818
GS,0.0031395923358415708
HCA,0.00311028126922313
GOOGL,0.0029504795219455933
GM,0.0028041596394700694
LYB,0.002720669329293488
C,0.002636725857846247
JPM,0.0024920111678059034
ANTM,0.002414184299366413
MMM,0.0024045201260020246
PCAR,0.0023356813597600512
MSI,0.0023028362755470196
ATVI,0.0019030578636994463
EQIX,0.0018978734353601332
V,0.001723954302446169
BIIB,0.0016326199300195341
CME,0.0015361646950673167
DE,0.0015263513869780286
FDX,0.0014876417072094404
PEG,0.001409275362318847
DASH,0.001407773336150733
MRK,0.0014025003514141464
AEP,0.0013725669751583026
PH,0.001337209325746498
AXON,0.0013141572351963527
MMC,0.0013139152391202068
LIN,0.0012636783910351525
LHX,0.0012523399351496776
DXCM,0.001223085193037216
MLM,0.0011540747173466714
DELL,0.0011425123319143094
CAT,0.0010931751816341756
HPQ,0.0010782513687341705
MSFT,0.0009268613311687861
AXP,0.0008895412647550918
WMT,0.0008121075544732488
GEHC,0.0006422386679000702
CERN,0.0005761818532465779
UBER,0.0005570522937520556
CMCSA,0.0004075274110539385
CL,0.0003436317135549772
CTVA,0.00028272738248655396
AMZN,0.00010363372427389222
GIS,9.102468175568136e-05
CB,0.0
CBOE,0.0
CBRE,0.0
CCI,0.0
CDAY,0.0
CDW,0.0
CE,0.0
CMA,0.0
CMI,0.0
CMS,0.0
CNC,0.0
CNP,0.0
COG,0.0
VFC,0.0
VIAC,0.0
VICI,0.0
VLTO,0.0
VMC,0.0
VNO,0.0
COHR,0.0
COIN,0.0
COO,0.0
CPAY,0.0
CPB,0.0
CPRT,0.0
CPT,0.0
CRH,0.0
CRL,0.0
CSGP,0.0
CIEN,0.0
CINF,0.0
CLX,0.0
UNM,0.0
UNP,0.0
UPS,0.0
CSX,0.0
CTLT,0.0
CTSH,0.0
CTXS,0.0
CVNA,0.0
CZR,0.0
D,0.0
DAY,0.0
DD,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
DOC,0.0
TXN,0.0
TXT,0.0
TYL,0.0
UA,0.0
UAA,0.0
UDR,0.0
UHS,0.0
UNH,0.0
DXC,0.0
ECL,0.0
ED,0.0
EFX,0.0
DDOG,0.0
DECK,0.0
DFS,0.0
DGX,0.0
DHR,0.0
DIS,0.0
EMR,0.0
EPAM,0.0
EQR,0.0
ERIE,0.0
ES,0.0
ESS,0.0
DOV,0.0
DRE,0.0
DRI,0.0
DTE,0.0
DUK,0.0
EVRG,0.0
EW,0.0
EXC,0.0
EXE,0.0
EXPD,0.0
EXR,0.0
F,0.0
FAST,0.0
FB,0.0
FBHS,0.0
EG,0.0
EIX,0.0
ELV,0.0
EME,0.0
EMN,0.0
FDS,0.0
FE,0.0
FFIV,0.0
FISV,0.0
FITB,0.0
FIX,0.0
FLIR,0.0
FLT,0.0
FMC,0.0
FOX,0.0
FOXA,0.0
FRC,0.0
HD,0.0
HFC,0.0
FRT,0.0
FTV,0.0
GD,0.0
GDDY,0.0
GEN,0.0
GL,0.0
GNRC,0.0
TRV,0.0
TSN,0.0
TTD,0.0
GPC,0.0
GPN,0.0
GPS,0.0
GRMN,0.0
GWW,0.0
HAS,0.0
HBAN,0.0
HBI,0.0
DVA,0.0
WY,0.0
HRL,0.0
HSIC,0.0
HST,0.0
WHR,0.0
HUBB,0.0
AEE,0.0
AES,0.0
IBKR,0.0
TKO,0.0
TMO,0.0
AIZ,0.0
TPL,0.0
AJG,0.0
TRMB,0.0
TROW,0.0
INFO,0.0
AKAM,0.0
ALK,0.0
INVH,0.0
IP,0.0
IPG,0.0
IPGP,0.0
IQV,0.0
IR,0.0
HIG,0.0
HII,0.0
HLT,0.0
HOLX,0.0
HON,0.0
HOOD,0.0
HPE,0.0
ITW,0.0
IVZ,0.0
J,0.0
JBHT,0.0
JBL,0.0
JKHY,0.0
JNJ,0.0
JNPR,0.0
WRK,0.0
K,0.0
KDP,0.0
ICE,0.0
IEX,0.0
IFF,0.0
ILMN,0.0
INCY,0.0
KKR,0.0
WSM,0.0
KMB,0.0
WST,0.0
KMX,0.0
KO,0.0
WTW,0.0
KSU,0.0
KVUE,0.0
L,0.0
LB,0.0
LDOS,0.0
LEG,0.0
IRM,0.0
ADI,0.0
IT,0.0
AMT,0.0
LH,0.0
AMTM,0.0
LII,0.0
ANSS,0.0
AON,0.0
LKQ,0.0
LNC,0.0
LNT,0.0
LOW,0.0
AOS,0.0
LUMN,0.0
VZ,0.0
KEYS,0.0
KHC,0.0
KIM,0.0
WAB,0.0
WAT,0.0
LW,0.0
WBA,0.0
MA,0.0
MAA,0.0
MAR,0.0
MAS,0.0
MCD,0.0
MCHP,0.0
WDAY,0.0
MCO,0.0
MDLZ,0.0
MDT,0.0
MET,0.0
WEC,0.0
TECH,0.0
ARE,0.0
ARES,0.0
TFC,0.0
TFX,0.0
MGM,0.0
MHK,0.0
MKC,0.0
MKTX,0.0
ATO,0.0
AVB,0.0
AVY,0.0
AWK,0.0
MO,0.0
MOH,0.0
ALLE,0.0
ALXN,0.0
MXIM,0.0
NDAQ,0.0
NDSN,0.0
AMCR,0.0
AME,0.0
AMP,0.0
SW,0.0
SWK,0.0
SWKS,0.0
SYF,0.0
BAC,0.0
SYY,0.0
BALL,0.0
TAP,0.0
BAX,0.0
BBWI,0.0
NOV,0.0
NSC,0.0
NTRS,0.0
BBY,0.0
NVR,0.0
NWL,0.0
NWS,0.0
MRSH,0.0
MS,0.0
MSCI,0.0
BDX,0.0
BEN,0.0
MTB,0.0
MTCH,0.0
MTD,0.0
O,0.0
BF.B,0.0
OGN,0.0
OKE,0.0
OMC,0.0
BG,0.0
OTIS,0.0
BIO,0.0
APO,0.0
PARA,0.0
PAYC,0.0
PAYX,0.0
NI,0.0
NKE,0.0
NLOK,0.0
NLSN,0.0
PCG,0.0
PEAK,0.0
APTV,0.0
PENN,0.0
PEP,0.0
PFE,0.0
PFG,0.0
PG,0.0
CFG,0.0
CHD,0.0
PHM,0.0
PKG,0.0
PKI,0.0
PLD,0.0
NWSA,0.0
NXPI,0.0
PNC,0.0
PNR,0.0
PNW,0.0
PODD,0.0
POOL,0.0
PPG,0.0
PPL,0.0
PRGO,0.0
PRU,0.0
PSA,0.0
PSKY,0.0
CHRW,0.0
PTC,0.0
PVH,0.0
PBCT,0.0
TDY,0.0
SJM,0.0
BLDR,0.0
Q,0.0
QRVO,0.0
BLK,0.0
RE,0.0
REG,0.0
BLL,0.0
RF,0.0
RHI,0.0
RJF,0.0
RL,0.0
RMD,0.0
ROK,0.0
BR,0.0
BRO,0.0
SPGI,0.0
STE,0.0
STLD,0.0
BWA,0.0
STZ,0.0
ROL,0.0
ROP,0.0
RSG,0.0
BXP,0.0
RVTY,0.0
SATS,0.0
SBAC,0.0
SBNY,0.0
SEE,0.0
SHW,0.0
SIVB,0.0
SPY,0.0
WLTW,0.0
CAG,0.0
WRB,0.0
ACN,0.0
ACGL,0.0
ABT,0.0
ABNB,0.0
ABMD,0.0
ABC,0.0
ZION,0.0
CASY,0.0
AAP,0.0
AAL,0.0
A,0.0
SPG,0.0
ZTS,0.0
VRSN,0.0
XEL,0.0
XLNX,0.0
VRT,0.0
XRAY,0.0
XYL,0.0
XYZ,0.0
ZBH,0.0
ZBRA,0.0
SNA,0.0
VTR,0.0
VTRS,0.0
SOLS,0.0
SOLV,0.0
WU,0.0
LMT,-0.00010140920974541988
AFL,-0.0002584442967043454
EA,-0.00031778094180620283
BRK.B,-0.0003259497486918939
KEY,-0.0005326846396516527
COR,-0.0006764171319488615
WM,-0.0007060638955427125
AIG,-0.000780350051824146
TDG,-0.000820034418832425
ROST,-0.0008223675320696403
TSCO,-0.0008542893741031416
USB,-0.0011632953956302262
AMAT,-0.0014332715952351319
TJX,-0.0016541936868601976
BK,-0.0017765400659474383
ETSY,-0.0017834906008891895
ULTA,-0.0018015712579541319
COST,-0.0018199000548481206
DAL,-0.001855978157840701
TGT,-0.0019070213524473845
TT,-0.0019451374717695492
ADSK,-0.002195744611073207
PXD,-0.002245136760693079
WMB,-0.002289737616049602
CEG,-0.002348301515972244
HAL,-0.0023652426936176633
CSCO,-0.0026969996048617877
SO,-0.0030399607608052894
FCX,-0.003112343347589844
TSLA,-0.003140034941028312
CRM,-0.0035087464682762104
ADP,-0.003592781753035233
EL,-0.0035999322488392375
SEDG,-0.003608252008684326
WFC,-0.0037770242214532892
JCI,-0.0038000159499665754
YUM,-0.004421547673994017
CVS,-0.004502491407301073
GILD,-0.004710040261908177
BSX,-0.005219705105927832
AZO,-0.005319326415512015
ADM,-0.005408387003052921
ENPH,-0.005451045623524698
ADBE,-0.005563205365806771
VRSK,-0.005592461304411227
CHTR,-0.00560365275700932
SCHW,-0.005924262059831963
COF,-0.005955523766254496
PYPL,-0.006296770978649986
FANG,-0.006316269732762488
WELL,-0.006419792144408602
BKR,-0.00713265719190532
LLY,-0.007369142196201668
LULU,-0.007830652740123352
NOW,-0.007839518975818614
IBM,-0.007995532751223793
SRE,-0.008040506499286395
ETR,-0.008081828006726698
CVX,-0.00857501850957701
BKNG,-0.00875861385667197
DG,-0.008958943858502204
QCOM,-0.008986832677053393
MOS,-0.009206873587973261
CARR,-0.0094388489578408
AMGN,-0.009708484638911375
ABBV,-0.010235056254152653
SBUX,-0.010960479209744816
MPWR,-0.011864536162463935
BMY,-0.011965078810537148
NTAP,-0.012803386976691141
MPC,-0.012939757125625494
IDXX,-0.01313212435900161
SLB,-0.01334729135778806
STT,-0.013446691461564013
CTRA,-0.013547592264175694
HES,-0.013658488113418698
NRG,-0.014147877982200357
VLO,-0.014265915502470614
NUE,-0.01615576318878987
CCL,-0.0172329040770798
VRTX,-0.01885505765674006
LYV,-0.021267371305302377
EQT,-0.02211117478252956
APP,-0.022121818163465756
NCLH,-0.02422003691153931
SMCI,-0.024488872377531806
ON,-0.024950518432250893
FSLR,-0.02518647800202894
CRWD,-0.026267624225423048
MRNA,-0.026458080910971474
TRGP,-0.02736796655846274
DLTR,-0.029822574285460465
EXPE,-0.02984747088626572
ORCL,-0.0310857145244385
