symbol,net_pnl
ETSY,0.006918791201539915
SNPS,0.004245509574833281
ILMN,0.0037048561683691817
NEM,0.0036363441409406733
TPR,0.0035343676643277027
DPZ,0.003271547376814941
NRG,0.002557289799155727
BAC,0.0023217996549306104
ON,0.00197820636005372
VTRS,0.001913077955152138
INTC,0.0019023550708872627
COP,0.0017968329646741153
DLTR,0.0017094930024832591
F,0.0016766859647439289
KR,0.001653751984474704
VRTX,0.0016287182530591888
CEG,0.001627538379943012
FISV,0.0016024912424498785
MO,0.0015288764242217768
CAT,0.0015220092653379519
PFE,0.0015142639592249107
TMUS,0.0014530156634273528
GEN,0.0014223023792419162
AAPL,0.0013486087204020486
BBWI,0.0013010223481691233
JCI,0.0012829065221032282
DXC,0.0012800332085305833
EPAM,0.0012798637698697712
COIN,0.0012734034219023798
ES,0.0012197294649910378
NWL,0.0012185452640219637
SEDG,0.0011979662751542513
PAYC,0.0011931827318846491
ALB,0.0011909236408266166
LLY,0.0011383152343398919
NFLX,0.0011374130789853615
PM,0.0011357660865657737
PGR,0.0011334585964567741
LVS,0.001118795111976706
FMC,0.0011187279945276706
CINF,0.0010939568626434362
CF,0.0010768964858540943
RL,0.0010672986519064034
WBD,0.001062015049785342
CNC,0.0010522644468401077
GM,0.0010191427491568305
CTLT,0.0010086889267217041
GEV,0.0010057654240118977
T,0.0009926631393940232
LOW,0.000937767514380734
LRCX,0.0009184549699687582
DE,0.0009075719003245859
MOS,0.0008895384914291383
GPN,0.0008556788773388367
APD,0.0008466253266943143
DXCM,0.0008402906678514674
WAT,0.000836976141589714
TEL,0.0008367432991181419
SYY,0.0008367408629326019
COST,0.0008214706513410162
ALL,0.0008202278140628227
WST,0.0008185786071066608
WBA,0.0008110443436303932
URI,0.0008105895855398009
WFC,0.0007989201764650934
XYZ,0.0007812081414483279
SEE,0.0007659324085676128
ROL,0.0007448082639791868
SLB,0.0007411002699360068
CIEN,0.0007392285609648926
GILD,0.0007261050771984982
ACN,0.0007200039148948215
DDOG,0.0007013795769225407
IRM,0.0006972523828856955
AON,0.0006933986807798622
NVDA,0.000691435934825062
GRMN,0.000677533299852401
ETR,0.0006589294204717152
CPAY,0.0006477594626605258
ABBV,0.0006444488904690379
GLW,0.000641012740272004
LYB,0.0006298389723972404
APP,0.0006067736099788984
BLL,0.0005991639855812749
ROST,0.0005827206023394374
IP,0.0005259680648385134
TTWO,0.0005189894667974261
MCD,0.0005111967267533679
MSI,0.0005057463363638654
UA,0.0005057153734506555
AXON,0.0004956780976971492
CBRE,0.0004911641734623396
TYL,0.0004908712131776194
ABMD,0.00048325385367130086
IPG,0.00046248115313738905
CAG,0.0004471677204307053
MCK,0.00043895352867070336
AFL,0.0004341213837642995
DLR,0.0004163759791574155
ANET,0.0004111776914154127
WYNN,0.00038818999813652763
AOS,0.00037381620857516356
EME,0.00036911369978362706
DISCA,0.00036258586661875144
ANTM,0.0003592199276156291
MLM,0.0003580028618979524
HPQ,0.0003554812825095882
BR,0.00035033387961140475
SPGI,0.0003482560377433141
JNJ,0.0003472626217555698
PRGO,0.0003415658640131296
FIX,0.00033379778175555487
NKE,0.0003299237714881486
IBM,0.0003278004979878767
WRK,0.00031949546091775886
FDS,0.00029449160712470486
LKQ,0.0002876073734052912
HFC,0.0002874046320980634
AMTM,0.00028236952426052755
ETN,0.0002807463237576282
VRT,0.000276001169994145
MPWR,0.0002694986535696305
UPS,0.00026295802082650836
IPGP,0.00026055820393859033
HOOD,0.00025165551470279345
FSLR,0.00025106176913708205
JNPR,0.00024892460124244703
PPL,0.0002472071968397792
LII,0.0002462525030546286
UAA,0.00024384887110302656
DD,0.00024058483370751824
NUE,0.00023039446386598951
MRSH,0.00022720680091590207
DHI,0.0002199889844304608
CAH,0.0002178325080709397
NI,0.0002124118293598136
PANW,0.00020932803696025064
NDSN,0.00020138322618084046
AAP,0.00019954634394450218
CLX,0.0001987814801726951
SBUX,0.0001919713617834059
CASY,0.00018342127284681268
BIO,0.00018074394501616672
IBKR,0.00017891544704800203
BG,0.00017804554221270737
MAR,0.00017681894567735514
ISRG,0.0001725700800201669
ECL,0.00016959754259056835
CRH,0.00016638975149850836
MKC,0.0001454848013185267
DAY,0.00013289293324054372
AES,0.0001273716587165127
NEE,0.00012482503499578926
GPS,0.0001236279781521826
EXR,0.00012312189175050874
FAST,0.00012287979903742588
OMC,0.0001201527584035284
LUMN,9.942847711710541e-05
COG,9.692379622568327e-05
EIX,9.39513693522715e-05
EFX,8.993087547146297e-05
FB,8.00304381671483e-05
INFO,6.949664753605185e-05
AAL,6.657656022192356e-05
ABC,6.166285237972989e-05
CPRT,5.745498011316572e-05
EXPD,5.293806236091964e-05
ARES,5.1867263724460486e-05
O,4.763684605677752e-05
EW,4.709648260236555e-05
TER,3.999308116111347e-05
WSM,3.838904989788412e-05
RMD,3.718708276801248e-05
WAB,1.7643119418600768e-05
PNW,1.5467333241969507e-05
CVNA,1.027093753504856e-05
ALXN,9.635896080758316e-06
NDAQ,7.172170960968037e-06
PSKY,5.4791098410265835e-06
FLIR,0.0
SPY,0.0
CHD,-6.6149733364785965e-06
MXIM,-9.176755463452949e-06
MCO,-1.3521671661855103e-05
CME,-2.2668057382655455e-05
HAS,-2.6716047432395115e-05
AXP,-2.7372685616889683e-05
KKR,-2.8922459580123922e-05
TDY,-2.9928829088359045e-05
PVH,-3.00264553463829e-05
GD,-3.1448759405533406e-05
SO,-3.671750300053197e-05
EQIX,-4.2124203712405436e-05
DRE,-4.6316914570461066e-05
