symbol,net_pnl
NVDA,0.007616804311139071
DAL,0.0065676793673893445
MOS,0.006132842589523743
JBHT,0.00565149329484933
ETSY,0.005500609614479184
CF,0.005376727850664308
NEM,0.004954354181599932
TPR,0.004871100423499045
WMT,0.003979588772526601
ENPH,0.003802074015528162
BA,0.003720957704532831
NRG,0.003246372868871879
FCX,0.003201082083678123
WST,0.0031987037718727855
KR,0.0031554916713921665
SNPS,0.003143041092607903
LLY,0.0029562817071727004
INTC,0.0029562513819866155
NOW,0.0028537894095691514
WYNN,0.002791636071837399
AVGO,0.002732365179490036
DECK,0.0027253186583484105
WDC,0.0025988003278804234
ODFL,0.0025534580064326016
AAPL,0.0023852953806757842
CAT,0.0022888485183919036
PGR,0.002268770087107807
JCI,0.002258232320156993
DLTR,0.002246835812689354
BAC,0.0022356506483802935
F,0.0022224439362966953
DHI,0.0020397613385356953
CAG,0.0020280637219569388
JPM,0.0019862607326198377
APD,0.0018971552619496685
RCL,0.0018767925121313859
MO,0.0018434702099171078
T,0.0017809782642914677
LVS,0.001732582523261139
UPS,0.0016902210620133784
CLX,0.0016411338581464629
SEDG,0.0015944713887320859
MCD,0.0015473408744187246
LOW,0.0015402092764043754
QCOM,0.0015265322734357625
CPRT,0.0014707432468356284
GPN,0.0014482822483560048
EPAM,0.0014411088668137215
APA,0.001438936842707105
DXC,0.0014267761557572487
IDXX,0.0013899385220995895
IRM,0.0013789431219296587
PFE,0.0013746117967193942
AAL,0.0013660763241876558
VLO,0.0013500824808653613
CBRE,0.0013195336816143298
FIX,0.0013121336248736516
IBM,0.0013034090125231411
XYZ,0.0013021150738206167
AON,0.0012826054868468274
TYL,0.001258682517752377
COP,0.0012322794992816533
MPC,0.0012245458986891895
CINF,0.001210054200572322
ROL,0.0011683696926449163
HCA,0.001156230192452196
STT,0.001153320160676212
SLB,0.0011523453078497404
ABBV,0.0011506110196232633
MSI,0.001147221063968603
LRCX,0.0011374868558976664
DE,0.0011286085254751928
EXR,0.0011137382905228811
MPWR,0.0011034216157463923
FOXA,0.0010319817191992238
ABC,0.0010254416133923115
COST,0.0010055250646115836
IP,0.0009989350262078166
RL,0.0009969024772788126
RMD,0.0009752193172820762
GE,0.0009682274950788268
NUE,0.0009668534176742843
JNJ,0.0009592463755426801
PANW,0.0009350400544946376
EA,0.0009232385991266143
ROST,0.0009221743781223233
RJF,0.0009168943396566841
FISV,0.000912967864127165
MAR,0.000887952219449957
URI,0.0008764846900976474
VTRS,0.0008731110807877163
PSX,0.000872704169875443
AFL,0.0008604688728972229
GM,0.0008578592736828235
NOC,0.0008554385723665574
DVA,0.0008448852856194039
CEG,0.0008278745579236506
FMC,0.0007933470517127904
SOLV,0.0007876888625259082
CMA,0.0007620249983492295
DLR,0.0007221709407270559
HII,0.0006802971097138862
CHD,0.0006673207765169468
EME,0.0006652842836418192
ON,0.0006225387772024807
CPAY,0.0006153752214216125
CIEN,0.0006063049850263555
GEV,0.0005951354791881435
DVN,0.0005938355725351118
STE,0.0005607752348192126
GOOG,0.0005560009288150471
COIN,0.0005471259520675035
HUM,0.0005453978265955459
LHX,0.0005428673279959868
DDOG,0.0005345002365362195
SYY,0.0005239928265017137
CDAY,0.0005100455429888512
NDSN,0.00047778219476561157
AOS,0.0004742154875209515
WFC,0.00045751078013277034
UA,0.0004561284263115402
CTLT,0.00045550030048081315
MRSH,0.0004364929854707048
TEL,0.00043368885397445495
LYB,0.00042933428702623077
ILMN,0.0004284970703668877
IPGP,0.000419877127487845
WRK,0.00041203532064772413
AIG,0.00038440364059931384
GDDY,0.0003821192166407376
VST,0.0003756449179450284
BK,0.0003750117747975364
JBL,0.0003700302799623665
ARES,0.00036877765970403677
FOX,0.0003638444546709769
SOLS,0.0003631844365073048
GLW,0.0003628671972398698
BIO,0.0003628559033980512
FB,0.00030642707966955027
HFC,0.00030478096498702073
ACN,0.0003040592984636585
APO,0.0002846349738622342
ED,0.0002773942327726043
GS,0.000276662956004891
Q,0.0002759827371493376
HIG,0.0002751148961981414
VIAC,0.0002671553909106377
HPQ,0.00026113634348803557
HOOD,0.00025347029972501607
AMTM,0.0002506611242812013
TER,0.0002456890320461846
WRB,0.00024037887963827985
RE,0.0002378812859815427
VRSN,0.00021919546757549307
MS,0.00021224866511751473
SEE,0.0002019723249200534
MXIM,0.00019886149766797402
TWTR,0.00018515970225988927
CASY,0.00018342127284681268
GRMN,0.0001802006978946237
VRT,0.00017277375465958757
ANET,0.00016367967648074432
BG,0.0001630949828314766
NKE,0.00014341030006016097
PCAR,0.0001226348111377455
AMD,0.00012176685101362391
FDX,0.00011766978031828243
CME,0.00011185965574920487
MLM,0.00010860433324210522
CVNA,9.159628472523487e-05
DRI,7.116574126851972e-05
UAA,6.895222569640273e-05
BLK,6.397075040576936e-05
WM,5.83000864716367e-05
BBWI,4.2747353252895904e-05
TMO,3.3990105207660006e-05
DGX,2.9816462688013554e-05
CAH,2.8663015652840928e-05
DD,2.554207866635501e-05
LITE,2.2687892802908516e-05
COG,2.2414479915969316e-05
SPY,0.0
FLIR,0.0
CRH,-1.112524270654132e-05
DOC,-1.150254938131623e-05
AXON,-2.134645411445909e-05
PRGO,-2.6500739611105877e-05
NEE,-3.254323672710888e-05
WSM,-3.549511316478198e-05
PBCT,-3.652385818084743e-05
ALXN,-5.102498134537381e-05
COHR,-5.5627733240302874e-05
CRM,-5.995883504046206e-05
LB,-6.0217152014921074e-05
O,-6.23994557683394e-05
BLL,-7.183938138276794e-05
KSU,-7.61676865847397e-05
ETN,-7.645084768976182e-05
DXCM,-8.506000636285152e-05
APH,-8.620219609707042e-05
STX,-9.284052078957546e-05
DOV,-9.369755085783529e-05
GEHC,-9.475354629931424e-05
TECH,-0.00010067522943389406
ZTS,-0.00010467641013825701
SPG,-0.00011357613028246708
DISCK,-0.00011570493160503487
PWR,-0.00012108591900630215
ZBH,-0.00013433931210399036
JNPR,-0.00016070240030725559
WLTW,-0.0001722214573621175
OMC,-0.00017407026587254318
KMI,-0.0001789204923101416
WAT,-0.0001841027033152903
CI,-0.00019092388817452342
GWW,-0.00020193420205527954
GOOGL,-0.00021002390994077268
TTWO,-0.00021136278576412186
PFG,-0.00022156801239298774
PSA,-0.00022662678073546148
SMCI,-0.00023273342643893939
ULTA,-0.0002431745947118878
PENN,-0.00024959154255807666
PHM,-0.00025114233528166104
DELL,-0.00025810559925978086
MGM,-0.00025879798317986257
VZ,-0.0002640511848624865
RVTY,-0.00026649863201322154
UNH,-0.00026772158306066784
INFO,-0.00027346595471420556
MCK,-0.0002825506024139721
PSKY,-0.0002880203657942974
NDAQ,-0.00029474833120235835
AAP,-0.0002948159670087858
WDAY,-0.00033139878434253753
WAB,-0.00033523775172251546
WTW,-0.0003626224740272888
NVR,-0.00036522380633901956
NWSA,-0.00036765725382460225
EMN,-0.00037239043888571315
CE,-0.0003726905272559355
STLD,-0.0003865443515801784
TKO,-0.00039265494653680996
TGT,-0.0003943892637242268
AMP,-0.0003946612469240703
XLNX,-0.0003966794248015556
FLT,-0.0004056658231184867
PARA,-0.0004184931299972047
PLD,-0.00042159042484463626
AXP,-0.0004259865474855276
SNDK,-0.00043117673244650646
ACGL,-0.000431303933572128
BMY,-0.00043439864372437167
CZR,-0.0004366498589214127
SATS,-0.00044630286397679894
ATO,-0.00044926287290580045
DG,-0.0004662875073739084
NFLX,-0.00046772354815142645
HAL,-0.0004708115149592718
TMUS,-0.00047547585663769415
VLTO,-0.0004911184347625167
DOW,-0.0004985383552585233
MSCI,-0.0005087894008313401
V,-0.0005197146449226332
ABNB,-0.0005217313773041821
FSLR,-0.0005270765735533024
MAS,-0.0005291921116908126
CPB,-0.0005487053538428752
PAYC,-0.0005603762861946584
HLT,-0.0005642986919990407
NWL,-0.0005676816682904707
ABMD,-0.0005852652554851707
PEP,-0.0005904507655139584
PM,-0.0005982797650137237
LUMN,-0.0006005740894582771
NI,-0.0006035252761886928
PTC,-0.000608225233655614
EIX,-0.0006112293431216791
GEN,-0.0006334969865092302
WHR,-0.0006351890923904666
LEG,-0.0006452184204154845
SW,-0.0006460356393362121
PLTR,-0.000651221378375266
IBKR,-0.0006561209426254734
DISCA,-0.0006595211443716025
FI,-0.0006625656476292583
CVX,-0.0006708111564330342
LII,-0.0006796192949579427
HPE,-0.0006928348549650903
DPZ,-0.000700116485641729
ALB,-0.0007061840517844815
ECL,-0.0007235068715726095
EG,-0.0007413944399087339
HSY,-0.0007439485300133875
ANTM,-0.000749279001720918
ALLE,-0.0007618737143079633
LDOS,-0.0007632061149655753
FBHS,-0.000772064890426827
AMT,-0.000781128240357261
XYL,-0.0007811926552991522
ADI,-0.0007867754579502139
CSCO,-0.0007906646113674546
COR,-0.0007927803112535408
DRE,-0.000794539263960306
HST,-0.0007985370445043244
EL,-0.0007987235687306224
LKQ,-0.0008152993900516761
BR,-0.0008181127387878431
MMM,-0.0008302686342488584
WEC,-0.0008375932898914486
TDY,-0.0008514785690470317
SBUX,-0.000852792831919907
LH,-0.0008630996613503759
WELL,-0.0008668929306018768
ELV,-0.0008870873804854753
ROK,-0.0009069301842482914
EFX,-0.0009143625431509684
SYF,-0.0009144805745406224
PNC,-0.000919930631557302
GIS,-0.0009205426584445268
HAS,-0.0009213539919157858
HSIC,-0.0009307226499703756
MU,-0.0009312627112972163
NOV,-0.000937922268930032
ITW,-0.0009476493057419103
CCL,-0.0009528419385141768
ADM,-0.0009530592175433657
TTD,-0.0009539400256107504
UNM,-0.0009544742156781297
GPC,-0.0009671485229164543
RSG,-0.000981538817726755
PNR,-0.0009862966647315227
CTSH,-0.000996083361491852
CARR,-0.0010020043440155419
NTRS,-0.0010147966995443713
TJX,-0.001022987289162397
FE,-0.0010276124286226831
FICO,-0.0010315945687176336
KMB,-0.0010355985989182537
HBI,-0.0010423693126364228
KEYS,-0.0010426044685064835
APP,-0.001043579188561721
CMG,-0.0010465009540552002
SNA,-0.001051159693418712
MCHP,-0.001054507604390224
MA,-0.0010599412024747702
ORCL,-0.0010671500431394484
IQV,-0.0010739619116052633
KDP,-0.0011007174250787408
GPS,-0.0011058887589907181
BWA,-0.001107851675244461
CNC,-0.0011103555497922826
TT,-0.0011163222568908212
KVUE,-0.0011309763067864132
SBNY,-0.0011488712700776307
PXD,-0.0011527919882437076
UNP,-0.0011584189700266023
C,-0.001159150099339147
BKNG,-0.001186521145788065
HOLX,-0.0011912913937636449
IPG,-0.0011916188477227275
AMCR,-0.001198105023943932
HWM,-0.001203114562036415
XOM,-0.0012031260626609807
ABT,-0.0012063957829624176
COO,-0.0012069009424869111
CMI,-0.0012170648525110402
YUM,-0.001220310568920605
DFS,-0.0012265216703131374
IVZ,-0.0012306280718612376
FFIV,-0.0012410688922003278
VTR,-0.0012442899793943544
ETR,-0.0012466052051175276
SPGI,-0.00125351952495304
DHR,-0.0012536770211368697
HUBB,-0.0012666675904226894
LW,-0.001267794975279314
DAY,-0.0012688663683199384
OTIS,-0.0012726050139120757
ICE,-0.0012920134522244684
GD,-0.0012940974928791792
WBA,-0.0012954468170455786
VNO,-0.0012999716381476027
L,-0.001313729565376522
PRU,-0.0013187645421415435
TFX,-0.001319128334715817
CNP,-0.0013194607523542832
EXE,-0.001323887796339685
BLDR,-0.0013240618640054163
IR,-0.0013267618843069047
LIN,-0.001327613123397104
EW,-0.0013278302236222122
CPT,-0.0013313398264276168
MMC,-0.0013335035819732866
WU,-0.001338766405309016
DUK,-0.0013435323637630062
VMC,-0.0013442968562838147
CRL,-0.0013480630269526114
FAST,-0.0013485527191301873
META,-0.0013723425443887764
UBER,-0.0013748526119879549
PYPL,-0.0013948061401156593
INTU,-0.0014039575641745254
ALL,-0.0014153673933476095
AMZN,-0.0014219969375862754
PODD,-0.0014267490676544475
TXT,-0.0014582304515768545
HD,-0.0014703556764924935
TAP,-0.0014728745646381551
NSC,-0.0014729651099659473
RTX,-0.001497044553369777
SWKS,-0.0015055967759105406
NLOK,-0.0015064897666310286
VRTX,-0.001511529502394272
LNC,-0.0015257112475041698
DASH,-0.0015370254130507377
IT,-0.0015427937996732703
UAL,-0.001555896202237981
VICI,-0.0015641053618706516
OKE,-0.0015658227148338285
IFF,-0.0015774102651020074
PVH,-0.00158293087609541
LULU,-0.001606836199359659
GL,-0.0016150135634345503
NCLH,-0.0016197029479699478
EVRG,-0.0016308420614100884
BX,-0.0016331400117609197
PAYX,-0.0016339244772464296
PNW,-0.0016360766410297503
ZION,-0.0016367234564037213
BBY,-0.0016425669734660665
MDT,-0.0016484235750960762
KKR,-0.0016499740232702826
FTV,-0.0016550107087185818
