symbol,net_pnl
XLK,0.04827810240792252
TQQQ,0.03609386664424439
IWM,0.011495978172954193
QQQ,0.006687740976067151
XLY,0.005181464700706132
XLP,0.0020649571459784317
XLU,0.0004888888888889391
SOXS,0.0
BIL,0.0
SHY,0.0
ARKK,0.0
XLRE,0.0
XLC,0.0
XLB,0.0
USO,0.0
DIA,-0.002667802288837663
XLF,-0.0068022671685292685
XLI,-0.007822960310764755
HYG,-0.012786669783520013
GLD,-0.019117293710515317
SPY,-0.029190725505300427
XLV,-0.03544299322904013
XLE,-0.09288610926867924
SMH,-0.09684008921367737
TLT,-0.11649296348142263
SOXL,-0.1581799178769312
SQQQ,-0.3632950646490998
