symbol,net_pnl
MRNA,0.43308431482606224
AMD,0.35707276523196907
PDD,0.19990093269955256
MRVL,0.17692330048184005
INTC,0.16217695719086317
NFLX,0.15718494790481502
STX,0.14435822555311828
LRCX,0.1352481164776748
JD,0.12673828514607394
MU,0.12087427221372657
CRWD,0.10942232839744277
TSLA,0.10322718914922477
BKNG,0.09485990394482686
META,0.08912573596966263
WBD,0.08314594588538424
PANW,0.07824759620086526
MELI,0.07313127267229644
LULU,0.07035479346099589
CSCO,0.06493723060865404
PLTR,0.058933726467557276
AMAT,0.04056797293920308
TXN,0.03729079168335657
SHOP,0.03262220879790267
APP,0.032566363048888665
ADI,0.0286630251941483
EBAY,0.027390645923579975
GOOGL,0.027030160027721586
WDAY,0.024767292399308593
DXCM,0.0212524767833789
INTU,0.020180132265765118
ABNB,0.019542425865270947
ADP,0.01800541971133102
ADSK,0.01761919199540155
REGN,0.01296760266073057
CMCSA,0.008514482623666756
ISRG,0.007786921824149028
ARM,0.007116221719163752
DDOG,0.006411449077218095
PTON,0.004695715761951149
PYPL,0.004330170402915413
XLNX,0.0014495506089688486
TMUS,0.00104901796995409
UAL,0.0
TTD,0.0
ULTA,0.0
XEL,0.0
WMT,0.0
SPLK,0.0
TEAM,0.0
WBA,0.0
VRSN,0.0
VSNT,0.0
VRSK,0.0
AEP,0.0
AXON,0.0
BKR,0.0
AZN,0.0
BMRN,0.0
ANSS,0.0
ALNY,0.0
ALGN,0.0
QQQ,0.0
AAL,0.0
CELG,0.0
CHKP,0.0
TTWO,0.0
CDW,0.0
CCEP,0.0
CERN,0.0
ZS,0.0
MNST,0.0
MAR,0.0
LBTYA,0.0
JBHT,0.0
INCY,0.0
LCID,0.0
LBTYK,0.0
INSM,0.0
FI,0.0
KDP,0.0
KHC,0.0
IDXX,0.0
HAS,0.0
HSIC,0.0
ROST,0.0
MPWR,0.0
FOX,0.0
GEHC,0.0
FOXA,0.0
GFS,0.0
FANG,0.0
FTNT,0.0
CSGP,0.0
CTXS,0.0
CTSH,0.0
FAST,0.0
FER,0.0
EXC,0.0
EXPE,0.0
CTAS,0.0
CPRT,0.0
WTW,0.0
SGEN,0.0
ROP,0.0
RIVN,0.0
SIRI,0.0
PCAR,0.0
TCOM,0.0
TRI,0.0
SWKS,0.0
PAYX,0.0
ORLY,0.0
MYL,0.0
NLOK,0.0
SMCI,0.0
SOLS,0.0
SNDK,0.0
WYNN,0.0
NTAP,0.0
ODFL,0.0
MXIM,0.0
OKTA,-0.0014079329548107881
MSTR,-0.0014300457911071863
GOOG,-0.001609133023508205
ENPH,-0.0017724996785617483
SNPS,-0.002477915510497414
DLTR,-0.003664330472452199
ON,-0.005257229149735308
BIIB,-0.005317409839649979
MTCH,-0.005948709857451694
EA,-0.00599121904072901
MDB,-0.008629199680016008
ALXN,-0.00916342569091809
ZM,-0.009427120155503605
BIDU,-0.011564169459203608
GILD,-0.012701322228869225
HON,-0.014709778754891574
QCOM,-0.014753690267768673
ASML,-0.01609473877269117
NTES,-0.019125193437939645
NXPI,-0.021487398459080542
MCHP,-0.021537455542458516
CHTR,-0.025820203100673466
WDC,-0.026105932912769046
CSX,-0.02734841692845377
LIN,-0.03288094801920437
COST,-0.03359608095184694
ILMN,-0.03596930919120653
AVGO,-0.03881549365681103
PEP,-0.03915019718105792
KLAC,-0.04140686541511796
MDLZ,-0.04177539484555442
CEG,-0.05007049788888232
VRTX,-0.05089912100233435
AMZN,-0.05191556834610852
CDNS,-0.05764940272414731
AAPL,-0.06563985450029547
NVDA,-0.06913538621129256
ADBE,-0.08678213556486496
DOCU,-0.0870082346768931
MSFT,-0.09018374473528008
DASH,-0.09235856579671009
AMGN,-0.10077695898819967
SBUX,-0.11322162289652332
ATVI,-0.1209036005117743
