symbol,net_pnl
AMD,0.08409385629676709
STX,0.05665471041037139
BA,0.048425882111287566
NEM,0.0421944821210226
INTC,0.038520288418358944
AVGO,0.034419844884220195
ABBV,0.03305068258912663
UAL,0.03293766937992571
BKNG,0.03236312336343674
TMUS,0.029990793088676977
WDC,0.029370045260270906
TSLA,0.028650006376055567
MNST,0.02765319167842765
ULTA,0.027271516960040747
KMI,0.026771750427685526
DAL,0.02585971065834108
GEV,0.02232258890908936
APH,0.02202981272404777
ORLY,0.021899981194121055
UNH,0.019973212562513602
MU,0.019208426028742672
CAT,0.01874725602295124
FICO,0.018320361503348603
PM,0.01810215817725703
KMB,0.01774123512937484
WMT,0.016472660193944944
AAL,0.016402860473707037
RCL,0.01639467378897362
EA,0.015563151704065623
DLR,0.015469663680576645
ABNB,0.015442964446480698
BRK.B,0.015014632589065753
CCL,0.014928492070381622
RTX,0.014155402560627247
GS,0.013980087318681557
EXPE,0.013365708724798656
TRGP,0.0127914955570904
TRV,0.012749287240747842
REGN,0.012708742654912737
JCI,0.01248853224579893
MPC,0.012300553555729635
BDX,0.012209288840497061
DE,0.012176525224240788
MMM,0.011926888516444393
CRM,0.01118027849230446
SO,0.011117309978675988
CHTR,0.011035963021057745
ORCL,0.011004635645833916
LMT,0.01094314750358826
OKE,0.010804189971843178
DLTR,0.010490908086393998
DIS,0.010117041884452596
MSI,0.010013504267436643
HSY,0.010001873307222145
DG,0.00983258822219652
CCI,0.009821317198994981
MPWR,0.009183733538815101
IDXX,0.009008497963769957
PAYX,0.008885320445511078
ADP,0.008845325119924469
SNDK,0.008838967716137335
ISRG,0.00881238280701631
MOS,0.008802193626614888
AIG,0.008600267496374124
KEY,0.008599245934562197
TFC,0.008368926793598425
MCK,0.008318813715506398
EBAY,0.007646125817305281
AAPL,0.0074949119501283796
AON,0.007360059739027032
PANW,0.007329699267422035
NKE,0.007159153705614577
FCX,0.007090139590231889
WYNN,0.006844649554037159
BAC,0.0067044968589011905
PNC,0.006413671247506147
PFE,0.006215136157554798
LRCX,0.0062054359735024545
ANET,0.006028586944362298
C,0.00592485359723551
FDX,0.00566615141028698
MCD,0.005487244917542051
TPR,0.005180466467570078
CNC,0.005163571376786602
APO,0.005150432643923586
CB,0.004875506307873281
DDOG,0.004872515818177916
EQIX,0.004706986220666676
JNJ,0.004608001570872355
PCG,0.004484256592768009
CMCSA,0.00438017356226781
ABT,0.004355657962350887
LIN,0.0042332717984497545
TJX,0.00420486276531833
DVN,0.0042039987444630195
SMCI,0.00416681463282265
HLT,0.004126335387086048
HON,0.004103736336471635
MDT,0.004010077870510465
CSCO,0.003916884745267094
WMB,0.003797979956156779
NEE,0.003787392197147772
BX,0.0035593805923928136
ALGN,0.003533648639123163
GLW,0.0035037408546977076
AEP,0.0032901203234823547
O,0.003219520717884499
FI,0.003209953093083903
FANG,0.0031935812987802696
UPS,0.0031917346301440037
ETR,0.0030588825516159952
PH,0.002974004440103509
TGT,0.002951193667420286
DHI,0.0029132518697533084
WFC,0.002854930193060955
ADBE,0.002748285192057677
HBAN,0.00270352183739196
IBM,0.002666146289188365
ELV,0.002549693474760283
TWTR,0.0024765244638000196
LOW,0.0024314054974807894
FISV,0.0022328675754518163
WELL,0.002229770588376622
WBD,0.002209774073314405
DFS,0.0021920622567029226
IQV,0.002070287985828166
APP,0.0019723731000170124
FAST,0.0018958221621053525
LEN,0.0018752085784974873
CARR,0.0018377648140235142
ECL,0.0016647353475943705
SBAC,0.0016200817074251267
CERN,0.0015947803420113642
URI,0.001547680571139882
LYV,0.0015239993494789543
MS,0.0015036569610547893
SNPS,0.0014736541600626307
FTNT,0.0014214553171926784
