symbol,net_pnl
AZN,0.03989484436387163
DXCM,0.026015504782887708
ILMN,0.021655680273091643
NTES,0.01850383635436385
META,0.01818062272083835
ALGN,0.017758812230695534
SIRI,0.014230635530214026
LULU,0.013944513880870129
ISRG,0.013352591423428248
UAL,0.013018932809004775
PDD,0.012833922291308222
LRCX,0.011915735263634417
GOOGL,0.010900603379121
MU,0.010482080926968645
SGEN,0.01027708051411666
ASML,0.009347312058911428
GOOG,0.009127683552095802
MELI,0.008553690081203325
DASH,0.007868389865246544
ADP,0.00785490219895118
DOCU,0.007705828549465206
BIDU,0.007670708457588029
TMUS,0.007415600325949032
PYPL,0.007325376167157968
NFLX,0.0069730890316071865
KLAC,0.006909040211347164
AAPL,0.006767036633866832
ZM,0.006726596994038754
ALXN,0.006620366878451031
MSFT,0.006327880504814141
SMCI,0.006152646505047762
INTU,0.00596707138314956
AMAT,0.005740769280598531
MSTR,0.0057362642857370525
BMRN,0.005639460726272159
ORLY,0.005390914223737968
SWKS,0.005148633050848523
MXIM,0.004835765440466304
TRI,0.0048183436605908694
TSLA,0.004757429003850103
JD,0.004701018052092085
XLNX,0.004615075598962716
AMZN,0.00459425450444245
ROST,0.004517495091110642
WDC,0.0041904816753002274
REGN,0.00394273676123249
WDAY,0.003929257665245416
ANSS,0.003929196751352368
ON,0.0037513151386765115
CSGP,0.0036644848337660943
FOX,0.0035399434448340453
AAL,0.0034861319258972755
FOXA,0.003391964356598092
ALNY,0.0033140771954109924
DDOG,0.0032329249575403078
NTAP,0.003058624846062723
AVGO,0.002985363550720799
AMD,0.002796271808528627
ARM,0.0027714149048652706
APP,0.002749568883686359
ENPH,0.0027166191919138394
MDLZ,0.002570991373526084
ZS,0.0024282559316421547
COST,0.0024281521605975832
CEG,0.0023172388679555647
CRWD,0.002202176454651977
ATVI,0.0020038661585039617
CELG,0.001991777824471308
LIN,0.0017448707381631592
STX,0.0016926887641700616
PAYX,0.001624640405456995
TEAM,0.0015352366754944882
WTW,0.0013232775581090844
MRVL,0.0013087278587951847
LBTYK,0.0012781882554232372
NLOK,0.0011957477140520608
CTSH,0.0011783598517814105
LBTYA,0.0010738598987529249
EBAY,0.0008576632010176832
SHOP,0.0008502930884163937
SPLK,0.0008028392920878642
PLTR,0.000784959403718892
EA,0.0006742022313324014
CDW,0.0003483444214102384
PTON,0.0003380199103196573
ADSK,0.0002718303379106111
INCY,8.428921388913635e-05
NVDA,5.318535161578323e-05
WMT,5.153805612626711e-05
JBHT,1.2690096384687028e-05
SNDK,0.0
QQQ,0.0
VSNT,0.0
CHKP,-2.047919883685909e-05
MPWR,-3.367713512070307e-05
RIVN,-0.00011147208697578253
MYL,-0.00011995783331869754
HSIC,-0.0002702077490672665
BIIB,-0.0002993598559857507
WYNN,-0.00037264369527367455
INSM,-0.000791328411745331
DLTR,-0.0008208384021638795
LCID,-0.0009196384518525028
ADBE,-0.0011078029068291992
TTWO,-0.001137714723695944
SOLS,-0.0011810348210120236
GEHC,-0.0013433886235667688
QCOM,-0.0013671438814657438
CSX,-0.0014156814311947462
FER,-0.0016688731186995723
CDNS,-0.0018001637841152907
FANG,-0.002106426567184085
HAS,-0.0021115765648255964
INTC,-0.0021812684137934293
WBA,-0.0022254307329046996
AXON,-0.002251097803410099
ROP,-0.0023595435764437503
BKR,-0.002390144629225808
PEP,-0.0024853822016357697
MNST,-0.002630582420314288
GILD,-0.002764236810464714
OKTA,-0.0034799799773376568
CTXS,-0.0036478962913382225
CPRT,-0.0036542790849802267
EXPE,-0.0037111109263284095
TTD,-0.0037991570221936437
FI,-0.003801473386375264
GFS,-0.003848120725451176
BKNG,-0.0039184025121258665
VRSK,-0.004287592678650947
IDXX,-0.004623125031385247
ULTA,-0.004641554842731111
TCOM,-0.004735579551361502
MRNA,-0.004782420393936294
CHTR,-0.00495147049297459
VRSN,-0.005575348840593522
MAR,-0.005921260213370804
FTNT,-0.006081451410187374
WBD,-0.00608997871341382
KHC,-0.006132776011562599
SNPS,-0.006566628115287132
MDB,-0.006800254238764229
CERN,-0.006880443762902397
CSCO,-0.006954986365297529
ABNB,-0.007011844531900475
AEP,-0.007459674331634426
SBUX,-0.00812747514849947
KDP,-0.00814007296665259
HON,-0.008257457838947473
MTCH,-0.009333462652723739
FAST,-0.010163958888617736
CMCSA,-0.010263326624559843
VRTX,-0.010330884246641732
EXC,-0.010668053401593056
CCEP,-0.01125154718515428
XEL,-0.011579931478557466
ADI,-0.01286030211379089
MCHP,-0.013078905091317693
PCAR,-0.013338320029047114
ODFL,-0.013397936987837084
PANW,-0.013456712114755057
AMGN,-0.01364510928148791
NXPI,-0.015330507907874403
TXN,-0.01933963046388637
CTAS,-0.03317531487146496
