symbol,net_pnl
AZN,0.04195547835411727
SIRI,0.032954398928646995
ORLY,0.020486954576577142
DXCM,0.02011679135706981
ALGN,0.019991177506749874
NTES,0.018619470815224314
NFLX,0.018507431177251912
REGN,0.016799386488749752
UAL,0.01648808764652493
PDD,0.016287455200231785
ILMN,0.01602712837666522
PYPL,0.015163161158878712
TMUS,0.014644439786531285
LULU,0.013265474081147066
CPRT,0.012624797047777867
ADP,0.012004052586743861
ASML,0.01187055917699701
ZM,0.011381925270616232
SMCI,0.01022389062403704
SGEN,0.009950366022477055
MELI,0.009504376086673596
INCY,0.00927585780977572
MSTR,0.00891593520470149
ZS,0.008327522835817171
MU,0.008310723003460021
XLNX,0.0075451851970020955
DOCU,0.007442242609778044
COST,0.00721312354954975
DLTR,0.006852920421372044
VRSN,0.006815982772726897
LIN,0.006655908780785615
GILD,0.006512188840956423
WDC,0.006481479796943429
ARM,0.006374016486322167
KLAC,0.0054817176960509
LCID,0.005453605436266661
EBAY,0.005138241204938605
ISRG,0.004632358453005966
CTSH,0.004290088671703571
INTC,0.004269783907805421
TRI,0.004239483979994958
IDXX,0.004123547105507083
SBUX,0.003920308381736636
CDW,0.0038679212116877826
KDP,0.0038507603277424056
ENPH,0.0036225828567360272
WBA,0.0035465051796967446
BMRN,0.003507694076699037
CEG,0.0033595786235951653
MRVL,0.003330235756153539
TSLA,0.0031526972354318254
AAL,0.0031483387059691196
PEP,0.0029402635396770247
MSFT,0.0028286984658619668
LRCX,0.0027021694745374626
ALNY,0.0025438690984451837
JD,0.002484530648048591
DASH,0.0023431104455775825
INTU,0.0020160098173353366
ROP,0.0019837943178760103
PTON,0.0019059819604397453
STX,0.0018377125042101882
PLTR,0.001419878195193741
CSGP,0.0013801765557190523
LBTYK,0.0013196341344724942
NTAP,0.0013155612557026206
QCOM,0.0012810379215035948
LBTYA,0.0010060013039909354
MPWR,0.0010041036930490514
WTW,0.0009723345167719034
CDNS,0.0009391397227858445
CRWD,0.0009273266288284631
ROST,0.0006697338901216497
ODFL,0.0006568071704847815
MXIM,0.0006402204859337098
WMT,0.0006155621762472436
APP,0.00031609183628974845
SHOP,0.0003052658573916214
ULTA,0.00022160241984354645
RIVN,0.00019874740794841793
MYL,0.0
HSIC,0.0
VSNT,0.0
WYNN,0.0
SNDK,0.0
QQQ,0.0
NLOK,0.0
JBHT,0.0
HAS,0.0
CELG,0.0
BIDU,-4.2628955339310236e-05
INSM,-0.00015970168701369284
PAYX,-0.00017022389734563503
META,-0.0002048268875796698
GEHC,-0.0005610950699165762
TTD,-0.0007711867236654685
TTWO,-0.0008376130008838072
FANG,-0.0010077196549971622
ALXN,-0.001091481322134578
FOXA,-0.0015024246664104277
SWKS,-0.0016209987688559782
SPLK,-0.0016554457402037516
EA,-0.0016775428646433614
SOLS,-0.002046082486257023
AAPL,-0.0021154510381894867
DDOG,-0.0021337492487131836
FOX,-0.0022199222439620316
ATVI,-0.002224549407498697
OKTA,-0.0026185023988117627
FER,-0.0028067749829737785
CSX,-0.003014537924807397
MDLZ,-0.0031739427676440728
AXON,-0.003347026255934394
AMGN,-0.003435022257441939
EXPE,-0.0034963876945391732
ADI,-0.003564862660698968
HON,-0.004122960277268517
ADSK,-0.004205010651867957
ON,-0.004263665986217153
TCOM,-0.004441729629768239
WBD,-0.0046548604972225915
FI,-0.005073267836345116
GFS,-0.005410555562481149
ADBE,-0.005521990949944343
CHKP,-0.005828085328826218
ANSS,-0.005893141076115894
BIIB,-0.006606551515833612
AVGO,-0.006799253681524334
MDB,-0.007112315291830622
TEAM,-0.0074244301224304
NVDA,-0.007648606124896907
AEP,-0.007653278486024808
BKR,-0.007750340178575936
MTCH,-0.008072488147919868
CERN,-0.008711962673761547
VRTX,-0.008759529171902276
AMAT,-0.008851764819303467
AMD,-0.0090470755379969
EXC,-0.009102088742052136
CSCO,-0.009235174999819802
XEL,-0.009609883872923584
MAR,-0.009645111181123827
AMZN,-0.009810741962246773
GOOGL,-0.009823346965553282
SNPS,-0.009966284066485203
MRNA,-0.01081383791374743
MNST,-0.010964367702588141
WDAY,-0.012096446990528467
ABNB,-0.012383019936370735
PCAR,-0.013221357680038308
CTXS,-0.01373019498715816
CMCSA,-0.013875191105471842
MCHP,-0.015071976195027483
GOOG,-0.015197546025272526
FTNT,-0.015459483478205893
TXN,-0.016438516178641168
CCEP,-0.01680567276461404
KHC,-0.016940389831971
CHTR,-0.017319597846864394
NXPI,-0.018338889522421076
PANW,-0.019465815464089792
BKNG,-0.020831427731391457
CTAS,-0.02146959908431149
VRSK,-0.024152270067731477
FAST,-0.026060593614738833
