symbol,net_pnl
XLF,0.1845780339764387
GLD,0.18348707128882116
XLI,0.16259032786587327
XLE,0.1274189613219351
QQQ,0.11036327602032495
IWM,0.09932557395747212
SMH,0.08690415114570708
TQQQ,0.06757644037308164
DIA,0.037536399547019095
SPY,0.033640331518334905
XLK,0.01681923911489369
USO,0.013005896786344333
XLP,0.008848351945755959
XLV,0.0005820737709102788
XLRE,0.0
BIL,0.0
SOXS,0.0
XLC,0.0
SHY,0.0
XLB,0.0
SOXL,-0.006533542567649274
XLY,-0.022480021866525274
ARKK,-0.0427162895309919
TLT,-0.04406419056481368
XLU,-0.0506230018448207
HYG,-0.059355141221930426
SQQQ,-0.06842214269436835
