symbol,net_pnl
EBAY,0.13811261081068638
GOOGL,0.1321938388796789
COST,0.1253332181628877
GOOG,0.10795830522474882
MRVL,0.10694981157482966
AMZN,0.1030002679056327
NVDA,0.08757738255941198
PYPL,0.08532092775076608
TMUS,0.07851911469857359
MELI,0.07697133904440977
PDD,0.07492040839312139
ASML,0.07024312595160853
AAPL,0.06886172687712677
BKNG,0.06878742086385231
NFLX,0.06234863217575912
ISRG,0.06070820705714782
LIN,0.05533908968746343
DOCU,0.04882919258502966
AMD,0.04844012851729021
LRCX,0.04829341775917553
ARM,0.045337649207859765
GILD,0.04407220140420826
BIDU,0.04384095173577007
ILMN,0.03965936755754599
JD,0.03644873777677118
ADBE,0.031829702187587496
INTU,0.030127215822136656
PANW,0.023731900060522185
WBD,0.022425902130779083
LULU,0.01681275943607724
AMAT,0.016092281064828236
MSFT,0.015893658487744454
CRWD,0.015424567247056667
ADSK,0.014909533668824025
PEP,0.012546315094781572
PLTR,0.01215785149989305
MCHP,0.010613568468673599
ADP,0.01033473039238301
ORLY,0.00827706166647082
WDC,0.007424752701982231
WDAY,0.007071220950240326
META,0.006868859081715694
INTC,0.0038362749364833576
MU,0.0023077721784675507
ZS,0.0022514206093436897
DASH,0.0005799098344468729
BMRN,0.0
CCEP,0.0
WMT,0.0
WBA,0.0
SMCI,0.0
SOLS,0.0
SNDK,0.0
AEP,0.0
ALGN,0.0
AZN,0.0
AXON,0.0
BKR,0.0
ANSS,0.0
ALNY,0.0
ABNB,0.0
AAL,0.0
QQQ,0.0
BIIB,0.0
CERN,0.0
CELG,0.0
CEG,0.0
CDW,0.0
CHKP,0.0
WYNN,0.0
VSNT,0.0
WTW,0.0
MAR,0.0
MDB,0.0
FOXA,0.0
FTNT,0.0
GEHC,0.0
EXPE,0.0
EXC,0.0
ENPH,0.0
FANG,0.0
FOX,0.0
INCY,0.0
HAS,0.0
HSIC,0.0
MPWR,0.0
MNST,0.0
KHC,0.0
LBTYA,0.0
GFS,0.0
FI,0.0
FAST,0.0
FER,0.0
DDOG,0.0
DLTR,0.0
DXCM,0.0
CTSH,0.0
CTAS,0.0
CTXS,0.0
CPRT,0.0
CSGP,0.0
XLNX,0.0
XEL,0.0
ZM,0.0
VRSK,0.0
ULTA,0.0
VRSN,0.0
TEAM,0.0
SPLK,0.0
KDP,0.0
INSM,0.0
IDXX,0.0
JBHT,0.0
LBTYK,0.0
LCID,0.0
MYL,0.0
NTAP,0.0
SIRI,0.0
ROP,0.0
ODFL,0.0
OKTA,0.0
PAYX,0.0
PCAR,0.0
PTON,0.0
RIVN,0.0
SHOP,0.0
SGEN,0.0
ROST,0.0
NTES,0.0
ON,0.0
NLOK,0.0
MXIM,0.0
MSTR,0.0
UAL,0.0
TTWO,0.0
TRI,0.0
TTD,0.0
TCOM,0.0
STX,0.0
CDNS,-0.0006714726520643581
EA,-0.0011857734274083602
SWKS,-0.001538282945677797
TSLA,-0.003735131493359968
MDLZ,-0.003945543327657308
ALXN,-0.00444669678170876
MTCH,-0.0054765423395340684
QCOM,-0.007629045676778023
HON,-0.010737568276443179
ATVI,-0.010868418010286594
APP,-0.011912753919003857
CSCO,-0.012873895914035113
CSX,-0.013126073978097626
REGN,-0.013322665672613827
SNPS,-0.013325277373667885
KLAC,-0.013931000164836007
VRTX,-0.015084828998153986
SBUX,-0.015219655774822503
AVGO,-0.018764582139079486
NXPI,-0.02289700212908694
ADI,-0.02610932352931481
AMGN,-0.028288329408398313
TXN,-0.03639944156280579
CMCSA,-0.05513884251201701
CHTR,-0.05800098630320252
MRNA,-0.089171569546971
