symbol,net_pnl
COR,0.05128392761150618
JNJ,0.04264252514357674
MCK,0.03911619097309054
WMT,0.03676046432313306
GOOG,0.03231935853449409
GOOGL,0.03182394173058894
GILD,0.031363285365934516
WDC,0.030945003878277706
CAH,0.027142484060280803
DG,0.02489327768786469
FI,0.024430799059148262
UAL,0.024274717702160588
COST,0.023380803511501225
FDX,0.022871954847177453
LHX,0.021087208990011066
JPM,0.020095301916623367
BKNG,0.019114921635888748
PM,0.019086685414764014
TPR,0.01904451007695646
ROST,0.018737600464286287
MRK,0.01858637750628474
TRV,0.017794924893351546
KKR,0.017595076666970397
GD,0.01623519770070464
APH,0.01593909866962736
CME,0.01580195648790379
LLY,0.015536974896672582
EXC,0.013157055494715469
EA,0.013146125838360674
STX,0.01304057671835844
AXP,0.01259129761459937
CMG,0.011655140506255903
GLW,0.011352152790452817
ADI,0.010736275689109316
NEM,0.01052619375458676
PCG,0.01035147248463236
ULTA,0.010153741227558206
MNST,0.009562731671162878
PFE,0.009201760065462363
V,0.009185900944056045
HSY,0.009144224971581334
T,0.008929638772197544
KMI,0.007949027370731833
F,0.007245544610070984
HBAN,0.0069641266255885525
MSFT,0.0069262252980822284
ORCL,0.006677437300499506
TMUS,0.006584333432386234
WM,0.006515871426139426
HLT,0.006173106256738269
BMY,0.006145186339769849
EQIX,0.0060690843946179076
AZO,0.006044998628838168
ABBV,0.005434298968378247
ISRG,0.005196343560674143
KO,0.004706964557508558
TMO,0.004551592087802019
HD,0.004511540712754721
NRG,0.004272470118032428
TT,0.003962977985890427
ADBE,0.003928511042651281
GIS,0.0038879183526116124
DE,0.003831125511105918
XOM,0.0036149212397028254
MET,0.00354628129178559
TSLA,0.0035171706322814312
GM,0.0031994385204949954
CVS,0.0029717424159431136
CI,0.0023637863849924313
NOC,0.0020860161615674803
CTSH,0.0018824061808283804
CTAS,0.0015457205398230374
PEG,0.001388757064279848
TTWO,0.0013614830854393942
CVX,0.001351994176031127
NVDA,0.0013304790734026666
MU,0.0013045357988880088
YUM,0.0012670347128061737
VRSK,0.0012047351901809478
FIX,0.0011294262224353258
WFC,0.0010527937604974244
ANTM,0.0008679157487990368
BK,0.0008294224743120471
ADM,0.0006950391135405157
ROP,0.0006552650563413528
AVGO,0.0006312344338302603
SPGI,0.0005700928782258683
HUM,0.0005393423612982483
BAC,0.0004885012016357333
EQT,0.0003956745394007465
SYY,3.716134838096106e-05
AAP,0.0
ZBRA,0.0
ZBH,0.0
WY,0.0
SATS,0.0
RVTY,0.0
ROL,0.0
ROK,0.0
RMD,0.0
AKAM,0.0
AIZ,0.0
AES,0.0
AEE,0.0
ADSK,0.0
WU,0.0
VTR,0.0
WLTW,0.0
WHR,0.0
WEC,0.0
VIAC,0.0
VFC,0.0
USB,0.0
UPS,0.0
CNP,0.0
CNC,0.0
CMS,0.0
CMI,0.0
CMA,0.0
CLX,0.0
CINF,0.0
CHTR,0.0
CHRW,0.0
CHD,0.0
CRWD,0.0
CRM,0.0
CRL,0.0
CRH,0.0
CPT,0.0
CPRT,0.0
CPB,0.0
CPAY,0.0
COP,0.0
COO,0.0
COHR,0.0
COG,0.0
CE,0.0
CDW,0.0
CDNS,0.0
CDAY,0.0
CCL,0.0
CCI,0.0
CBRE,0.0
CBOE,0.0
CASY,0.0
VST,0.0
VRT,0.0
VRSN,0.0
VNO,0.0
VMC,0.0
VLTO,0.0
COF,0.0
DASH,0.0
D,0.0
CZR,0.0
CVNA,0.0
CTXS,0.0
CTRA,0.0
CTLT,0.0
CSGP,0.0
DISH,0.0
DISCK,0.0
DISCA,0.0
DHR,0.0
DHI,0.0
DGX,0.0
DFS,0.0
DELL,0.0
DECK,0.0
DDOG,0.0
DD,0.0
DAY,0.0
EBAY,0.0
DXCM,0.0
DXC,0.0
DVN,0.0
DVA,0.0
DUK,0.0
DTE,0.0
DRI,0.0
DRE,0.0
DOW,0.0
DOV,0.0
DOC,0.0
UNP,0.0
UNM,0.0
UHS,0.0
UDR,0.0
UBER,0.0
UAA,0.0
UA,0.0
TYL,0.0
TXT,0.0
TXN,0.0
TWTR,0.0
TTD,0.0
ERIE,0.0
EQR,0.0
EPAM,0.0
EOG,0.0
ENPH,0.0
EMN,0.0
EME,0.0
EL,0.0
EIX,0.0
EG,0.0
EFX,0.0
FB,0.0
FAST,0.0
EXR,0.0
EXPE,0.0
EXPD,0.0
EXE,0.0
EW,0.0
EVRG,0.0
ETSY,0.0
ETR,0.0
AXON,0.0
CAG,0.0
BXP,0.0
BX,0.0
BWA,0.0
BRO,0.0
BR,0.0
BLL,0.0
BLDR,0.0
BKR,0.0
CFG,0.0
CF,0.0
CEG,0.0
ESS,0.0
ES,0.0
FOX,0.0
FMC,0.0
FLT,0.0
FLIR,0.0
FITB,0.0
FIS,0.0
FICO,0.0
FFIV,0.0
FE,0.0
FDS,0.0
FCX,0.0
FBHS,0.0
GL,0.0
GEV,0.0
GEN,0.0
GEHC,0.0
GDDY,0.0
FTV,0.0
FTNT,0.0
FRT,0.0
FRC,0.0
FOXA,0.0
HBI,0.0
HAS,0.0
HAL,0.0
GWW,0.0
GRMN,0.0
GPS,0.0
GPN,0.0
GPC,0.0
GNRC,0.0
HUBB,0.0
HST,0.0
HSIC,0.0
HRL,0.0
HPQ,0.0
HPE,0.0
HOOD,0.0
HON,0.0
HOLX,0.0
HII,0.0
HIG,0.0
HFC,0.0
IPGP,0.0
IPG,0.0
IP,0.0
INVH,0.0
APA,0.0
AOS,0.0
BIO,0.0
BIIB,0.0
BG,0.0
BF.B,0.0
BEN,0.0
BBY,0.0
BBWI,0.0
BAX,0.0
BALL,0.0
INTU,0.0
INTC,0.0
INFO,0.0
INCY,0.0
ILMN,0.0
IFF,0.0
IEX,0.0
IBKR,0.0
HWM,0.0
TSN,0.0
TSCO,0.0
TROW,0.0
TRMB,0.0
TRGP,0.0
TPL,0.0
TKO,0.0
TFX,0.0
K,0.0
JNPR,0.0
JKHY,0.0
JCI,0.0
JBL,0.0
JBHT,0.0
J,0.0
IVZ,0.0
ITW,0.0
IT,0.0
IRM,0.0
