symbol,net_pnl
SOXL,0.31926676888673966
SOXS,0.1402709029693437
ARKK,0.06286996890006118
TQQQ,0.03151793947140208
SMH,0.013974290569402604
IWM,0.012987213818288497
HYG,-0.001988894652489535
XLP,-0.007596826566940632
TLT,-0.00912768684385424
XLK,-0.009502568390823985
XLV,-0.010570024393403816
XLI,-0.017561467784740905
XLU,-0.021346798559508294
DIA,-0.022542920464931573
SPY,-0.022546149692852815
QQQ,-0.02270405153403204
GLD,-0.023199549371407925
XLY,-0.027166242195616554
XLF,-0.03598753663872361
USO,-0.0417100446118537
XLE,-0.05628896138753749
SQQQ,-0.1486449929829461
