symbol,net_pnl
SOXL,1.4786827391496404
TQQQ,0.9889365923125861
GLD,0.2747160395858462
ARKK,0.21056457004452422
TLT,0.19801203092684264
IWM,0.10060496380112889
XLU,0.04177661885074238
XLV,0.032674864880722375
QQQ,0.009137604776563469
SMH,0.0079457683094113
SPY,0.005313884712416919
XLK,0.004788285190161259
XLRE,0.0
SHY,0.0
SOXS,0.0
BIL,0.0
XLP,0.0
XLC,0.0
USO,0.0
XLB,0.0
SQQQ,-0.002553291503492172
XLF,-0.024412632202520032
XLY,-0.02441389009692012
DIA,-0.03226798593772214
HYG,-0.043644051102126866
XLI,-0.0595425061285473
XLE,-0.4642155485977972
