symbol,net_pnl
SOXS,0.706777360455967
SOXL,0.41135456579699553
SQQQ,0.2157251032036158
TQQQ,0.07176610887002803
SMH,0.06935206668315254
XLE,0.05978638892831831
ARKK,0.050213769667294864
XLF,0.032616852694182345
XLY,0.0018530386610575392
QQQ,0.0007599324917161532
DIA,-7.082571076004788e-05
GLD,-0.011904662583062166
XLI,-0.014261973620671537
SPY,-0.024380862806552668
XLK,-0.024650325819496496
IWM,-0.024979173217799144
XLV,-0.03578709689606249
TLT,-0.0499861430418305
XLP,-0.05942375422447032
HYG,-0.06786556039609601
XLU,-0.10860312076948042
USO,-0.14406534757263703
