symbol,net_pnl
SQQQ,0.1387948546436659
SOXL,0.09866584504867708
TQQQ,0.07377109533747658
SMH,0.06711057444835011
XLK,0.042831000736006666
XLF,0.023479580933905248
XLI,0.01896846888504986
QQQ,0.014128951088939424
USO,0.01386614008221172
DIA,0.005370653318398516
BIL,0.0
XLRE,0.0
SHY,0.0
XLC,0.0
XLB,0.0
GLD,-0.003380080138912409
XLP,-0.004675904123965735
XLE,-0.012668132699951007
SPY,-0.02046318946845127
HYG,-0.023342806252109993
XLU,-0.031506900468773656
SOXS,-0.036465185739734646
XLY,-0.04124021272975571
ARKK,-0.0575026932980188
IWM,-0.0679678476658852
XLV,-0.07849591946784204
TLT,-0.16648839766975584
