symbol,net_pnl
XLE,0.12203770193936996
TQQQ,0.10801070026665241
GLD,0.09146032497949155
SMH,0.06913701869181021
QQQ,0.0572389875342588
XLK,0.056150153759128074
TLT,0.036779899271420516
XLV,0.03160086326831517
SPY,0.016907374749658127
XLI,0.012003322013979318
XLY,0.011639872065180622
XLP,0.01124753952445905
HYG,0.008063716688570597
IWM,0.007977955912506857
USO,0.0061560561396746
XLF,0.0034276905951852762
DIA,0.0005258851839463142
BIL,0.0
SHY,0.0
XLRE,0.0
XLC,0.0
XLB,0.0
SOXS,-0.0004286335455260282
XLU,-0.01103838546562461
SOXL,-0.05342539672964556
ARKK,-0.11111348018109775
SQQQ,-0.502852439663653
