symbol,net_pnl
GOOGL,0.028281809805255877
META,0.02754206040644513
NFLX,0.02732874775183228
GOOG,0.023693074559425223
GE,0.023439124327040876
RCL,0.021362328697840688
GEV,0.020340496985597603
PLTR,0.019236141244865904
WELL,0.019069772173390426
WDC,0.018200374248654488
FI,0.017720053505969977
HWM,0.01768233183059261
NEM,0.017459337030572133
AMAT,0.01700734605406256
LRCX,0.016639905903181484
INTC,0.016437777998184588
BSX,0.015536348649450587
MU,0.014690651390563652
JCI,0.014496463703055375
KLAC,0.014421199921386315
TPR,0.014035879011332332
MPC,0.013631532006953407
EBAY,0.013551801237106932
AMD,0.013493332122677178
ETN,0.013418345619821005
SNDK,0.012826571281290989
GLW,0.012322291698639735
PSX,0.01201061002530199
RTX,0.011690405058034987
DHI,0.011426633499254326
TT,0.011383541520086868
CMI,0.011317775914465941
MPWR,0.011291861271126339
C,0.011060585555645368
TER,0.009746044737046326
PWR,0.009231217354474464
MRK,0.009134471931760311
MSFT,0.008883174989695524
SNPS,0.008742473884101196
EMR,0.00858313583804359
NVDA,0.00843432270564996
CDNS,0.008394982764776049
PH,0.008272300298851374
URI,0.007761862028814934
LEN,0.007623138200692806
GS,0.007534313812731471
ADI,0.007258082763212697
REGN,0.00686493370960346
TMUS,0.006745146768849628
CARR,0.006587925100312841
ROST,0.006438240396220875
PGR,0.006191736420131969
AVGO,0.006146787537869901
CRM,0.005958746667731841
NUE,0.00575098300802024
ODFL,0.0056415009855796125
NRG,0.00560795746918789
ROP,0.00551899593869636
COST,0.005289280131564527
EW,0.004982986976149227
AMZN,0.0044386130808729855
ON,0.004392974571462777
ABBV,0.004362551169570411
KMI,0.004185804172953918
INTU,0.004030167362849272
AXP,0.003950418508166709
LMT,0.00392605861300036
HSY,0.0038878953075265972
PNC,0.0038596403299040096
WMT,0.0038147443524854294
CMG,0.0037466698982853443
WFC,0.003626996974906354
T,0.0035207789429733613
UBER,0.002961170368858823
JNJ,0.0028976665141794656
VST,0.0028934393131427607
EQIX,0.002806290431231845
MS,0.0026750510081735073
CAT,0.002648055382475184
GD,0.0026033585277383414
WBD,0.0025377993815413375
PANW,0.0025081954138655408
LITE,0.002315670150071175
QCOM,0.002225315100772222
UNH,0.0021041982094787606
PCG,0.0019953521716588245
NOC,0.0019638386683140997
HUM,0.0019622715758642324
DASH,0.0019132208550153248
HAL,0.0018214268434691204
VRTX,0.00180569561548406
CEG,0.0015493838244087955
DD,0.0015314926721200675
ABNB,0.0014979760231888007
LIN,0.0013968148320066722
TJX,0.001373592884314653
LLY,0.0012824530623857277
CHTR,0.0011762891246329295
JPM,0.0011519132127319187
NOW,0.0011473395077746674
TRGP,0.001072887411814479
ICE,0.0010665406365173895
CME,0.001014372084290887
IBM,0.0010055745454530978
VLO,0.000970085217543556
ALB,0.0009604705467108807
FDX,0.0008159967555589308
CNC,0.0007975554394692104
RMD,0.0006045668639483102
EXPE,0.0006041219335778999
BX,0.0005838299706904355
KO,0.0005682385208866877
KVUE,0.00047696858214646307
DRI,0.0004009642802120168
CERN,0.00026576347237958816
TTWO,0.00022912857622526742
APA,0.00019436414016267203
DG,6.344690779632826e-05
DUK,3.064256355607767e-05
ABC,0.0
ABMD,0.0
WU,0.0
ADP,0.0
ADSK,0.0
AEE,0.0
AEP,0.0
AES,0.0
AFL,0.0
AIZ,0.0
AKAM,0.0
ALGN,0.0
ALK,0.0
WRK,0.0
WSM,0.0
WST,0.0
RVTY,0.0
ALLE,0.0
ALXN,0.0
AMCR,0.0
AME,0.0
AMP,0.0
AMT,0.0
AMTM,0.0
ANSS,0.0
ANTM,0.0
AON,0.0
AOS,0.0
VZ,0.0
WAB,0.0
BEN,0.0
BF.B,0.0
BG,0.0
BIO,0.0
BK,0.0
APO,0.0
APTV,0.0
ARE,0.0
ARES,0.0
ATO,0.0
AVB,0.0
AVY,0.0
AWK,0.0
BWA,0.0
BXP,0.0
CAH,0.0
CASY,0.0
AZO,0.0
BA,0.0
BAC,0.0
BALL,0.0
BAX,0.0
BBWI,0.0
BDX,0.0
CCI,0.0
CDAY,0.0
CDW,0.0
CE,0.0
CFG,0.0
CHD,0.0
CHRW,0.0
BLDR,0.0
BLK,0.0
BLL,0.0
BR,0.0
BRK.B,0.0
BRO,0.0
VFC,0.0
VIAC,0.0
VLTO,0.0
VMC,0.0
VNO,0.0
VRSK,0.0
VRSN,0.0
VRT,0.0
VTR,0.0
VTRS,0.0
CBOE,0.0
CBRE,0.0
CSGP,0.0
CIEN,0.0
CINF,0.0
CL,0.0
CLX,0.0
CMA,0.0
CMS,0.0
CNP,0.0
COG,0.0
USB,0.0
V,0.0
CZR,0.0
D,0.0
DAY,0.0
CAG,0.0
COHR,0.0
COO,0.0
COR,0.0
CPAY,0.0
CPB,0.0
CPRT,0.0
CPT,0.0
CRH,0.0
CRL,0.0
DFS,0.0
DGX,0.0
DHR,0.0
DIS,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
DOC,0.0
CSX,0.0
CTLT,0.0
CTRA,0.0
CTSH,0.0
CTXS,0.0
CVNA,0.0
TXN,0.0
TXT,0.0
TYL,0.0
UA,0.0
UAA,0.0
UDR,0.0
UHS,0.0
UNM,0.0
UNP,0.0
UPS,0.0
DDOG,0.0
