symbol,net_pnl
NVDA,0.3281748740616146
META,0.26962044999502843
GOOGL,0.1708182818884775
LRCX,0.16370540305660133
NFLX,0.15026792802161856
AMAT,0.14876579762598238
WDC,0.12800018468281896
PLTR,0.12305434508176918
APP,0.10902908825126355
AAPL,0.10578071509639353
MU,0.09969192314707871
AVGO,0.07176141434348261
PYPL,0.057454906226515355
DASH,0.049428839543980675
AMD,0.03770154852873017
ISRG,0.03660392025095991
GOOG,0.02393365518262541
CEG,0.020854754778192548
PEP,0.019936505601318273
AMGN,0.018106931206658138
VRTX,0.016343709192170076
COST,0.012540145979848398
ON,0.01161357582254272
NXPI,0.008671784817127147
ADBE,0.0063790117058121635
KLAC,0.0007403343526019438
MTCH,0.00030488973663833174
ABNB,0.0
QQQ,0.0
ANSS,0.0
ALXN,0.0
ALGN,0.0
AMZN,0.0
ASML,0.0
AAL,0.0
ALNY,0.0
ADP,0.0
WDAY,0.0
WMT,0.0
CHTR,0.0
CHKP,0.0
CDW,0.0
CDNS,0.0
CERN,0.0
CELG,0.0
BIDU,0.0
BKR,0.0
BKNG,0.0
BIIB,0.0
AXON,0.0
AZN,0.0
CCEP,0.0
BMRN,0.0
ADSK,0.0
AEP,0.0
ARM,0.0
GEHC,0.0
FER,0.0
FI,0.0
ENPH,0.0
EXC,0.0
DLTR,0.0
CTSH,0.0
CTXS,0.0
DDOG,0.0
CSX,0.0
CSGP,0.0
CPRT,0.0
CMCSA,0.0
MSFT,0.0
MELI,0.0
LCID,0.0
LBTYK,0.0
ILMN,0.0
INCY,0.0
HAS,0.0
HON,0.0
KHC,0.0
INSM,0.0
JD,0.0
JBHT,0.0
LBTYA,0.0
KDP,0.0
HSIC,0.0
IDXX,0.0
MRVL,0.0
MPWR,0.0
MNST,0.0
LIN,0.0
MAR,0.0
FAST,0.0
EXPE,0.0
FANG,0.0
GFS,0.0
FTNT,0.0
FOX,0.0
FOXA,0.0
EA,0.0
DOCU,0.0
CTAS,0.0
CSCO,0.0
XEL,0.0
XLNX,0.0
SNDK,0.0
SNPS,0.0
SWKS,0.0
STX,0.0
SOLS,0.0
SPLK,0.0
TXN,0.0
MDB,0.0
MCHP,0.0
NTAP,0.0
ODFL,0.0
NLOK,0.0
MYL,0.0
NTES,0.0
PANW,0.0
ORLY,0.0
OKTA,0.0
PAYX,0.0
PDD,0.0
PCAR,0.0
PTON,0.0
RIVN,0.0
SHOP,0.0
ROP,0.0
ROST,0.0
SBUX,0.0
SIRI,0.0
SGEN,0.0
MXIM,0.0
MSTR,0.0
ZM,0.0
WYNN,0.0
WTW,0.0
ULTA,0.0
VSNT,0.0
WBA,0.0
WBD,0.0
VRSN,0.0
ZS,0.0
TRI,0.0
TTWO,0.0
TTD,0.0
UAL,0.0
VRSK,0.0
TCOM,0.0
TEAM,0.0
ADI,-0.003180487385324603
MDLZ,-0.0065153295751566335
MRNA,-0.01588751079466651
TMUS,-0.021735311154398543
INTC,-0.023162844677266155
EBAY,-0.02342606779455769
LULU,-0.02620978458042656
INTU,-0.030561591486632952
SMCI,-0.03211916778011524
GILD,-0.03722713607895437
QCOM,-0.03805968389682307
ATVI,-0.042244899140461666
DXCM,-0.043089127924689656
REGN,-0.06765903381987645
CRWD,-0.072898612217798
TSLA,-0.09112928671308873
