symbol,net_pnl
META,0.160405635835163
NFLX,0.09431855446260663
MRNA,0.08694528098880308
NVDA,0.07979172330859989
AVGO,0.0651896210547279
WDC,0.05618352075747544
AMAT,0.05496783796159509
AMD,0.05219613813714016
AAPL,0.051270826844910994
PLTR,0.05094947459330503
MU,0.048162190599643835
APP,0.04803264327583704
LRCX,0.0453468358278702
GOOGL,0.03902966597668371
ISRG,0.029376655826120267
DASH,0.01950194234341651
WBD,0.01945081861451042
PYPL,0.016322430414698746
CEG,0.014052413078701252
AMGN,0.012295901952567712
ON,0.011717029591633966
PEP,0.011471719223300297
ADBE,0.004068657214648907
CRWD,0.003512125142364389
COST,0.0014381121074089564
MTCH,0.00015020370783933056
AAL,0.0
ABNB,0.0
QQQ,0.0
ANSS,0.0
ALXN,0.0
ALGN,0.0
AMZN,0.0
ASML,0.0
ARM,0.0
ALNY,0.0
ADP,0.0
XEL,0.0
WMT,0.0
CHTR,0.0
CHKP,0.0
CDW,0.0
CDNS,0.0
CERN,0.0
CELG,0.0
BIDU,0.0
BKR,0.0
BKNG,0.0
BIIB,0.0
AXON,0.0
AZN,0.0
CCEP,0.0
BMRN,0.0
ADSK,0.0
AEP,0.0
FI,0.0
EBAY,0.0
FANG,0.0
FAST,0.0
EXC,0.0
ENPH,0.0
CTAS,0.0
CTSH,0.0
CTXS,0.0
DDOG,0.0
CSCO,0.0
CSGP,0.0
CSX,0.0
CMCSA,0.0
MDB,0.0
MCHP,0.0
MNST,0.0
GFS,0.0
ILMN,0.0
HAS,0.0
HSIC,0.0
HON,0.0
LBTYA,0.0
JBHT,0.0
JD,0.0
KDP,0.0
KHC,0.0
INCY,0.0
INSM,0.0
IDXX,0.0
MRVL,0.0
MPWR,0.0
MSFT,0.0
LBTYK,0.0
LULU,0.0
MAR,0.0
FER,0.0
EXPE,0.0
GEHC,0.0
FOX,0.0
FTNT,0.0
FOXA,0.0
DLTR,0.0
DOCU,0.0
EA,0.0
CPRT,0.0
ZM,0.0
XLNX,0.0
WTW,0.0
SNPS,0.0
SWKS,0.0
STX,0.0
SOLS,0.0
MELI,0.0
LIN,0.0
LCID,0.0
NTAP,0.0
NLOK,0.0
ORLY,0.0
MYL,0.0
ODFL,0.0
NTES,0.0
SHOP,0.0
PANW,0.0
OKTA,0.0
PAYX,0.0
PDD,0.0
PCAR,0.0
PTON,0.0
RIVN,0.0
SIRI,0.0
ROP,0.0
ROST,0.0
SBUX,0.0
SGEN,0.0
SNDK,0.0
MXIM,0.0
MSTR,0.0
WYNN,0.0
VRSK,0.0
ZS,0.0
ULTA,0.0
WBA,0.0
VSNT,0.0
WDAY,0.0
SPLK,0.0
TXN,0.0
TRI,0.0
TTWO,0.0
TTD,0.0
UAL,0.0
VRSN,0.0
TCOM,0.0
TEAM,0.0
INTC,-0.0013894808353621584
VRTX,-0.0020875302535469055
ADI,-0.0026341854010489977
GOOG,-0.002668447527045546
MDLZ,-0.005742528096308755
NXPI,-0.006495292748879342
KLAC,-0.007306927851794759
TMUS,-0.008306156196490265
SMCI,-0.011273081475307164
QCOM,-0.015556650109990387
DXCM,-0.017552781542890302
GILD,-0.026018112418931087
INTU,-0.026705951618077546
ATVI,-0.029140612525693266
REGN,-0.02965572313814327
TSLA,-0.059365926261961424
