symbol,net_pnl
META,0.023615077447718128
NFLX,0.01902670733582846
AMD,0.017197202570708944
PLTR,0.016662131552401586
FI,0.014642764397932604
GEV,0.014234642685042464
WDC,0.012297354542431863
RCL,0.011943559339483148
LRCX,0.011674624151058133
SNDK,0.010614649280553282
GOOG,0.010493646504563907
NVDA,0.010413894198504737
ON,0.01013406457665727
GOOGL,0.009623317857588482
TPR,0.009544333576691362
AMAT,0.00940999552518517
DHI,0.009098589359310615
GLW,0.008694739767117788
LEN,0.0073831773229374705
ETN,0.007190434708022802
INTC,0.006932947540560886
HWM,0.006548925843496672
NEM,0.006459974527820727
BSX,0.006035633675016174
MU,0.005891552869711084
VRTX,0.005850682875658952
GE,0.005796191603698979
CRM,0.005295996918621968
TER,0.005274625071409865
CEG,0.005148167166314311
AXP,0.004774793980684235
GIS,0.004526657990020723
AVGO,0.004448611101415722
MSFT,0.0041887865461468195
CDNS,0.004102633250078027
PWR,0.003884880967467993
ISRG,0.003727300939159427
WELL,0.0036774129843413885
CAT,0.003534594879939842
PGR,0.00350646180268003
KLAC,0.003316848399808817
WMB,0.0032937284826736347
TT,0.0030299135149113293
MPC,0.002921152055327617
UNH,0.0028052068853588004
NOC,0.0024699678777205195
DASH,0.002335911008305885
NUE,0.0022540912208711683
AMZN,0.002079207775585352
CI,0.0020763938564729084
NRG,0.002037029962930306
WBD,0.0019690211312575023
DD,0.0017689605990026227
AXON,0.0017671357220421617
TRGP,0.0017669783299347243
SNPS,0.001604552938578385
LITE,0.0015489491304046246
AJG,0.0014910648714670982
ADBE,0.001321521587988892
JCI,0.0013208974225406257
MRK,0.0012894531917685232
ROST,0.0011080586991779227
MMM,0.0009086228766266063
CMG,0.0008758375415018195
T,0.0007406002581831874
ODFL,0.0007382239866160817
ANET,0.0007312269843672792
DAL,0.0007295103551850763
ALB,0.0007291226745643295
RMD,0.0005540029366908459
EMR,0.0005339729391467537
ABT,0.0004897294203314977
UAL,0.0003993375226744391
LLY,0.00028538515226660463
KMI,0.0002669854919428349
SEDG,0.00026154492897419515
IBM,0.00023914234653093426
NOW,0.0002380979970634273
CHTR,0.00010846072096159708
RTX,0.00010150668557477136
C,4.5677029747191476e-05
FCX,2.293544100511436e-05
AEP,0.0
AEE,0.0
ADSK,0.0
BF.B,0.0
BEN,0.0
BDX,0.0
BBY,0.0
BBWI,0.0
BAX,0.0
BALL,0.0
BAC,0.0
BA,0.0
CASY,0.0
CAH,0.0
CAG,0.0
BXP,0.0
BX,0.0
BWA,0.0
BRO,0.0
BRK.B,0.0
BR,0.0
BLL,0.0
BLK,0.0
CHRW,0.0
CHD,0.0
CFG,0.0
CERN,0.0
CE,0.0
CDW,0.0
CDAY,0.0
CCI,0.0
CBRE,0.0
CBOE,0.0
CB,0.0
COHR,0.0
COG,0.0
CNP,0.0
CMS,0.0
CMI,0.0
CME,0.0
CMCSA,0.0
CMA,0.0
CLX,0.0
CL,0.0
CINF,0.0
CIEN,0.0
CSX,0.0
CSGP,0.0
CRL,0.0
CRH,0.0
CPT,0.0
CPRT,0.0
CPB,0.0
CPAY,0.0
COR,0.0
COO,0.0
COIN,0.0
DDOG,0.0
DAY,0.0
D,0.0
CZR,0.0
CVNA,0.0
CTXS,0.0
CTSH,0.0
CTRA,0.0
CTLT,0.0
CTAS,0.0
VZ,0.0
VTRS,0.0
VTR,0.0
VRT,0.0
VRSN,0.0
VRSK,0.0
VNO,0.0
VMC,0.0
VLTO,0.0
VICI,0.0
VIAC,0.0
VFC,0.0
V,0.0
DOV,0.0
DOC,0.0
DLR,0.0
DISH,0.0
DISCK,0.0
DISCA,0.0
DIS,0.0
DHR,0.0
DGX,0.0
DFS,0.0
DELL,0.0
DECK,0.0
DE,0.0
EG,0.0
EFX,0.0
ED,0.0
ECL,0.0
DXCM,0.0
DXC,0.0
DVA,0.0
DUK,0.0
AWK,0.0
AVY,0.0
AVB,0.0
ATVI,0.0
ATO,0.0
ARES,0.0
ARE,0.0
APTV,0.0
APO,0.0
APD,0.0
BLDR,0.0
BKNG,0.0
BK,0.0
BIO,0.0
BG,0.0
DTE,0.0
DRI,0.0
DRE,0.0
DPZ,0.0
DOW,0.0
ESS,0.0
ES,0.0
ERIE,0.0
EQR,0.0
EQIX,0.0
EPAM,0.0
ENPH,0.0
EMN,0.0
EME,0.0
ELV,0.0
EL,0.0
EIX,0.0
FDS,0.0
FBHS,0.0
FB,0.0
FAST,0.0
F,0.0
EXR,0.0
EXPE,0.0
EXPD,0.0
EXE,0.0
EXC,0.0
EW,0.0
EVRG,0.0
ETSY,0.0
ETR,0.0
FRT,0.0
FRC,0.0
FOXA,0.0
FOX,0.0
FMC,0.0
FLT,0.0
FLIR,0.0
FIX,0.0
FITB,0.0
FISV,0.0
FIS,0.0
FICO,0.0
FFIV,0.0
FE,0.0
GNRC,0.0
GL,0.0
GEN,0.0
GEHC,0.0
GDDY,0.0
GD,0.0
FTV,0.0
FTNT,0.0
USB,0.0
UPS,0.0
UNP,0.0
UNM,0.0
UHS,0.0
UDR,0.0
UBER,0.0
UAA,0.0
UA,0.0
TYL,0.0
TXT,0.0
TXN,0.0
HIG,0.0
HFC,0.0
HES,0.0
HD,0.0
HCA,0.0
HBI,0.0
HBAN,0.0
HAS,0.0
GWW,0.0
GRMN,0.0
GPS,0.0
GPN,0.0
GPC,0.0
IBKR,0.0
HUBB,0.0
HSY,0.0
HST,0.0
HSIC,0.0
HRL,0.0
HPQ,0.0
HPE,0.0
HOOD,0.0
HON,0.0
HOLX,0.0
HLT,0.0
HII,0.0
IRM,0.0
IQV,0.0
IPGP,0.0
IPG,0.0
INVH,0.0
INTU,0.0
INFO,0.0
INCY,0.0
ILMN,0.0
IFF,0.0
IEX,0.0
IDXX,0.0
ICE,0.0
KEYS,0.0
KEY,0.0
KDP,0.0
K,0.0
JPM,0.0
JNPR,0.0
JNJ,0.0
JKHY,0.0
WSM,0.0
JBL,0.0
JBHT,0.0
J,0.0
IVZ,0.0
ITW,0.0
IT,0.0
LEG,0.0
LDOS,0.0
LB,0.0
L,0.0
KVUE,0.0
KSU,0.0
KR,0.0
KO,0.0
ANTM,0.0
ANSS,0.0
SWKS,0.0
ABMD,0.0
AMTM,0.0
AMT,0.0
AMP,0.0
AMGN,0.0
AME,0.0
AMCR,0.0
ALXN,0.0
AZO,0.0
SWK,0.0
KMX,0.0
ZTS,0.0
KMB,0.0
KKR,0.0
KIM,0.0
KHC,0.0
LUV,0.0
LUMN,0.0
LULU,0.0
LOW,0.0
LNT,0.0
LNC,0.0
A,0.0
LKQ,0.0
AAL,0.0
LIN,0.0
LII,0.0
LHX,0.0
LH,0.0
MGM,0.0
MET,0.0
MDT,0.0
MDLZ,0.0
MCO,0.0
MCK,0.0
MCHP,0.0
MCD,0.0
MAS,0.0
MAR,0.0
MAA,0.0
MA,0.0
LYV,0.0
LYB,0.0
LW,0.0
MRSH,0.0
MRO,0.0
