symbol,net_pnl
NVDA,0.22162108548657805
META,0.16253213148278736
AAPL,0.10578071509639353
NFLX,0.10055625485745324
LRCX,0.08777826801835122
GOOGL,0.0697044541941683
AMAT,0.0685603169536898
PLTR,0.05550310074161022
WDC,0.051487830846209684
APP,0.048540741146659384
AVGO,0.04681295058217125
MU,0.04082902616082978
AMD,0.035069719337844876
ISRG,0.030132869343810462
PYPL,0.02814896015162957
DASH,0.01997070638039588
CEG,0.014764950155502696
VRTX,0.012632054205572013
AMGN,0.012295901952567693
PEP,0.011520997055968837
ON,0.011488347619544897
GOOG,0.01145040870892665
NXPI,0.004482537946165408
ADBE,0.004068657214648892
COST,0.003605621973856943
KLAC,0.0022065962351251996
MTCH,0.00022707754061353398
ABNB,0.0
QQQ,0.0
ANSS,0.0
ALXN,0.0
ALGN,0.0
AMZN,0.0
ASML,0.0
AAL,0.0
ALNY,0.0
ADP,0.0
WDAY,0.0
WMT,0.0
CHTR,0.0
CHKP,0.0
CDW,0.0
CDNS,0.0
CERN,0.0
CELG,0.0
BIDU,0.0
BKR,0.0
BKNG,0.0
BIIB,0.0
AXON,0.0
AZN,0.0
CCEP,0.0
BMRN,0.0
ADSK,0.0
AEP,0.0
ARM,0.0
GEHC,0.0
FER,0.0
FI,0.0
ENPH,0.0
EXC,0.0
DLTR,0.0
CTSH,0.0
CTXS,0.0
DDOG,0.0
CSX,0.0
CSGP,0.0
CPRT,0.0
CMCSA,0.0
MSFT,0.0
MELI,0.0
LCID,0.0
LBTYK,0.0
ILMN,0.0
INCY,0.0
HAS,0.0
HON,0.0
KHC,0.0
INSM,0.0
JD,0.0
JBHT,0.0
LBTYA,0.0
KDP,0.0
HSIC,0.0
IDXX,0.0
MRVL,0.0
MPWR,0.0
MNST,0.0
LIN,0.0
MAR,0.0
FAST,0.0
EXPE,0.0
FANG,0.0
GFS,0.0
FTNT,0.0
FOX,0.0
FOXA,0.0
EA,0.0
DOCU,0.0
CTAS,0.0
CSCO,0.0
XEL,0.0
XLNX,0.0
SNDK,0.0
SNPS,0.0
SWKS,0.0
STX,0.0
SOLS,0.0
SPLK,0.0
TXN,0.0
MDB,0.0
MCHP,0.0
NTAP,0.0
ODFL,0.0
NLOK,0.0
MYL,0.0
NTES,0.0
PANW,0.0
ORLY,0.0
OKTA,0.0
PAYX,0.0
PDD,0.0
PCAR,0.0
PTON,0.0
RIVN,0.0
SHOP,0.0
ROP,0.0
ROST,0.0
SBUX,0.0
SIRI,0.0
SGEN,0.0
MXIM,0.0
MSTR,0.0
ZM,0.0
WYNN,0.0
WTW,0.0
ULTA,0.0
VSNT,0.0
WBA,0.0
WBD,0.0
VRSN,0.0
ZS,0.0
TRI,0.0
TTWO,0.0
TTD,0.0
UAL,0.0
VRSK,0.0
TCOM,0.0
TEAM,0.0
ADI,-0.002635172441026396
MDLZ,-0.0030478917967598977
TMUS,-0.008877374322875144
EBAY,-0.011810458833304721
INTC,-0.012921033912957276
SMCI,-0.01386689655921988
QCOM,-0.01693275406746888
MRNA,-0.020213313367601977
INTU,-0.020307056997941553
LULU,-0.021343389973895895
DXCM,-0.021612534661439326
GILD,-0.026028009638718066
ATVI,-0.02932718221108708
CRWD,-0.032813530543184616
REGN,-0.04173928186723733
TSLA,-0.049972577253866904
