symbol,net_pnl
NVDA,0.18535150590520252
META,0.13038378033331322
AAPL,0.09731697154972833
NFLX,0.0787277499010663
LRCX,0.0721566374848242
AMAT,0.05569199325264107
GOOGL,0.05352102052611335
PLTR,0.04454568485048327
AVGO,0.0437315698787254
WDC,0.04119026467696781
APP,0.0388544286516759
MU,0.03825006609794992
ISRG,0.024446485952599437
AMD,0.023429526508851974
ADBE,0.02299850092612147
PYPL,0.022494187202076046
DASH,0.015976565104316734
ADP,0.012311347414464133
CEG,0.011716162773856753
TMUS,0.01038353765152732
ON,0.009687722117452821
TXN,0.00928492431134199
GOOG,0.006467869574790673
XLNX,0.0058021863741674964
AMZN,0.004326607764339834
MDLZ,0.003102999106421652
MSFT,0.0029913126745702862
KLAC,0.0020769942634394707
VRTX,0.0016026594883580497
ASML,0.0
ALXN,0.0
ALGN,0.0
ANSS,0.0
ABNB,0.0
AAL,0.0
QQQ,0.0
ALNY,0.0
WDAY,0.0
WBD,0.0
TTD,0.0
CHTR,0.0
CDW,0.0
CHKP,0.0
CERN,0.0
CELG,0.0
BIDU,0.0
BKR,0.0
BKNG,0.0
BIIB,0.0
AXON,0.0
CDNS,0.0
CCEP,0.0
BMRN,0.0
ADSK,0.0
AEP,0.0
AZN,0.0
ARM,0.0
FER,0.0
FI,0.0
FOX,0.0
EXC,0.0
GEHC,0.0
DOCU,0.0
DLTR,0.0
CMCSA,0.0
CSX,0.0
CTAS,0.0
CSGP,0.0
CPRT,0.0
MNST,0.0
MDB,0.0
KDP,0.0
LBTYA,0.0
MAR,0.0
FOXA,0.0
HAS,0.0
HON,0.0
KHC,0.0
INSM,0.0
JD,0.0
JBHT,0.0
ILMN,0.0
INCY,0.0
HSIC,0.0
IDXX,0.0
MRVL,0.0
MPWR,0.0
MCHP,0.0
MELI,0.0
LCID,0.0
FAST,0.0
EXPE,0.0
FANG,0.0
GFS,0.0
FTNT,0.0
CTXS,0.0
DDOG,0.0
EA,0.0
ENPH,0.0
CTSH,0.0
CSCO,0.0
WYNN,0.0
XEL,0.0
WTW,0.0
ULTA,0.0
VSNT,0.0
SWKS,0.0
SNDK,0.0
SNPS,0.0
TTWO,0.0
LIN,0.0
LBTYK,0.0
ODFL,0.0
ORLY,0.0
NTAP,0.0
NLOK,0.0
MYL,0.0
SHOP,0.0
SGEN,0.0
PAYX,0.0
PCAR,0.0
PTON,0.0
PDD,0.0
ROP,0.0
RIVN,0.0
SIRI,0.0
SBUX,0.0
ROST,0.0
NTES,0.0
PANW,0.0
OKTA,0.0
MXIM,0.0
MSTR,0.0
ZS,0.0
TCOM,0.0
TRI,0.0
WMT,0.0
ZM,0.0
WBA,0.0
VRSK,0.0
VRSN,0.0
UAL,0.0
STX,0.0
SOLS,0.0
TEAM,0.0
SPLK,0.0
PEP,-0.0003192048423985858
COST,-0.001862183025661846
MTCH,-0.0021836266117226206
NXPI,-0.00232584474192882
AMGN,-0.0060041467272081124
EBAY,-0.00899651795459796
ADI,-0.009919330715175286
MRNA,-0.010393278216462179
INTC,-0.010506106233019034
SMCI,-0.01109351724737592
GILD,-0.012343003979011304
DXCM,-0.01398797885648411
INTU,-0.015721662878276078
LULU,-0.017074711979116725
REGN,-0.020491318830510953
QCOM,-0.022372102134607125
ATVI,-0.022412608072613967
CRWD,-0.027395410889229883
TSLA,-0.04824059315344871
