symbol,net_pnl
META,0.03649705846620227
NFLX,0.03222710569874646
NVDA,0.031208584515401382
PLTR,0.02660037858719876
AVGO,0.02465330611378028
FI,0.02274116138727134
GEV,0.020764130523253075
WDC,0.020705255708859154
GOOGL,0.020385657822454606
AMD,0.020095352532573107
RCL,0.019948176950498796
GE,0.01953336092550597
ANET,0.01779235157356472
LRCX,0.016664816343830855
GOOG,0.015618403894360304
AMAT,0.014089892951333186
KLAC,0.0139732409714758
TPR,0.013953687651067168
APH,0.01347454132068019
MU,0.012877824620692715
PGR,0.012396811750250846
GLW,0.01225742930480029
BSX,0.011833975619615314
ETN,0.010553937777228637
HWM,0.010090132594111163
NEM,0.00929406919250033
CEG,0.008610032221239067
AXP,0.008220449090806504
CRM,0.008054100201827456
ON,0.007897536611808472
TER,0.007466868966363269
MRK,0.007195160942282007
MSFT,0.006519428051030072
WELL,0.006488348857923814
CDNS,0.00628213437976283
ISRG,0.005726091150427761
MPWR,0.005485561578571648
PWR,0.005471469347262784
DHI,0.004997798842910756
VRTX,0.004972794075608458
CMI,0.004905809490858563
UNH,0.004684391684522254
MNST,0.0039851815790047625
INTU,0.003925711032082675
HSY,0.003746533215742271
MPC,0.0036454845343223217
JCI,0.003465731437598347
LEN,0.0034139958402969743
HUM,0.0033187047481072094
RTX,0.003294060835074031
TRGP,0.003141153606362999
SNPS,0.0026515045604150345
DD,0.0026064964137231953
AXON,0.0025912451310777886
LITE,0.0022305832428028854
NOC,0.0022222942146743244
LLY,0.0021988713810565676
ROST,0.0020364757612194345
ADBE,0.0019586335734567825
PH,0.001863923350208159
CI,0.0014774954685544798
ALB,0.0013829711589512324
MMM,0.0013776319132985588
DAL,0.0013580123288911364
CMG,0.0012685147614085364
T,0.0012668308936905734
ODFL,0.0011407015881822534
CTAS,0.0009402850069032448
RMD,0.0009211561563245591
MCHP,0.0008401156610219191
ABT,0.0007775308222542674
EMR,0.0006831556230782235
AMZN,0.0005837295895566083
TJX,0.0005638681910228928
KMI,0.0004482196939974126
SEDG,0.0004185648860311225
IBM,0.0004084336220859699
NOW,0.000377272959689309
VST,0.00030881809585814514
APD,0.00024057669809652196
LHX,0.00022553537639368406
