campaign_id,variant_count,rank_correlation,positive_both_share,early_positive_share,late_positive_share,selected_variant,selected_found,selected_early_rank_pct,selected_late_rank_pct,selected_early_net,selected_late_net
CAM-0600,96,0.0009020802107173425,0.9895833333333334,0.9895833333333334,1.0,qqq__mom252_skip21__top3__liquid_trend__panic1,True,0.7083333333333334,0.625,1.0302998563479764,1.3232294004946294
CAM-0601,24,0.6626086956521738,0.9583333333333334,1.0,0.9583333333333334,qqq__sue__hold6__top5__price20,True,0.7916666666666666,0.7916666666666666,0.7785300787164211,0.3450309078038587
CAM-0602,36,0.2136422136422137,0.9444444444444444,0.9444444444444444,1.0,qqq__value_quality__top10__trend1,True,0.7777777777777778,0.8888888888888888,0.586408216259517,0.8008024393086606
CAM-0603,36,0.09317889317889319,0.8888888888888888,0.8888888888888888,1.0,qqq__lowvol_quality__top20__trend1,True,0.8888888888888888,0.9444444444444444,0.5566073472271282,0.37466246097901795
CAM-0604,36,0.4808236808236809,1.0,1.0,1.0,qqq__mom_quality__top5__trend1,True,0.8611111111111112,0.8611111111111112,0.4286955858951208,0.7050989436921505
CAM-0605,12,0.7651278034028547,0.5,0.5,1.0,sp500__resmom__top10__liquid_trend,True,0.2916666666666667,0.4166666666666667,0.0,0.5265625684920616
CAM-0606,138,0.18592937861923467,0.34057971014492755,0.5434782608695652,0.5797101449275363,,False,,,,
CAM-0607,84,0.2183780609681362,0.38095238095238093,0.6190476190476191,0.5714285714285714,etf__long_cheap_r2__top1__z1__trend0,True,1.0,0.9285714285714286,2.2345547637598875,0.8139858316016793
CAM-0608,48,0.4176074685193226,0.4791666666666667,0.6458333333333334,0.7083333333333334,qqq__slow_residual_r10__top10__monthly,True,0.9166666666666666,0.7916666666666666,1.340768860244959,0.7659763065094447
CAM-0609,48,0.6588145896656535,0.3333333333333333,0.6041666666666666,0.4166666666666667,qqq__slow_residual_r10__top10__monthly,True,0.9583333333333334,0.9583333333333334,1.0982281173729294,0.35502371698018614
CAM-0610,72,0.17023602804038848,0.9027777777777778,0.9027777777777778,1.0,qqq__ma150__weekly__top3__momentum,True,0.9027777777777778,0.8333333333333334,1.6800979654981538,1.809647143026804
CAM-0611,72,0.2875747636503956,0.7916666666666666,0.7916666666666666,0.9861111111111112,sp500__ma50_200__weekly__top3__momentum,True,0.5416666666666666,0.9166666666666666,0.5474628126219043,1.952982665248391
CAM-0612,72,0.2710463695414496,0.5694444444444444,0.5833333333333334,0.9583333333333334,sp500__ma10_50_200__monthly__top3__momentum,True,0.5694444444444444,1.0,0.22805607581942594,1.9127635974563242
CAM-0613,30,0.8162402669632925,0.2,0.4,0.23333333333333334,,False,,,,
CAM-0614,45,0.461528326745718,0.28888888888888886,0.28888888888888886,0.7333333333333333,sp500__donchian100__reversal,True,0.8,0.5777777777777777,0.12156655625907817,0.2579926101667686
CAM-0615,54,0.5486944920907184,0.7037037037037037,0.7037037037037037,1.0,qqq__fullcov_s50__mom60__positive_top5,True,0.7222222222222222,0.2222222222222222,0.7726252231605371,0.34194609587059044
CAM-0616,54,0.6201257861635219,0.7037037037037037,0.7037037037037037,1.0,qqq__fullcov_s50__mom60__positive_top5,True,0.7222222222222222,0.2037037037037037,0.7799070390817212,0.3362637185000664
CAM-0617,100,0.9795952257394914,0.25,0.25,0.25,etf__alpha_M20_E5__top5__monthly__trend0,True,0.94,0.9,1.3517352442919957,0.6081253163219551
CAM-0618,16,0.19411764705882353,1.0,1.0,1.0,sector11__mom252_skip21__weekly__top3,True,0.375,0.9375,0.6312604595993907,0.4843991435296945
CAM-0619,16,0.5088235294117647,1.0,1.0,1.0,sector11__mom63_skip0__monthly__top1,True,1.0,0.4375,1.0475619940696355,0.25200140464501547
CAM-0620,16,0.049999999999999996,1.0,1.0,1.0,sector11__mom63_skip0__monthly__top1,True,1.0,0.75,0.8064616100368116,0.37291260308933283
CAM-0621,72,0.4539198662293396,0.5833333333333334,0.875,0.6527777777777778,etf__ibs30__top5__hold3__trend1,True,0.9722222222222222,0.9583333333333334,0.9318602888269056,0.6044739786163739
CAM-0622,192,0.6415573229896286,1.0,1.0,1.0,QQQ__target15__vol20__monthly__thr20__def1,True,0.9947916666666666,0.765625,0.7950649569767386,0.36713015345769606
CAM-0623,18,-0.22830590694900443,0.9444444444444444,0.9444444444444444,1.0,qqq__chs_safe__top5__liquid__raw,True,1.0,0.8333333333333334,0.6970336120266166,1.2652538551707861
CAM-0624,72,0.10720946684674257,0.7083333333333334,0.7083333333333334,1.0,qqq__chs_safe__top5__liquid__target15,True,1.0,0.9722222222222222,0.5316646732617996,0.6087629581892775
