target_bp,hold_min,trades,net_return,mean_trade_bp,target_rate,stop_rate,timeout_rate,median_hold_ms,mean_distance_bp,mean_entry_spread_bp,max_drawdown,monthly
5,1,81,-0.061117688962634364,-7.545393699090662,0.08641975308641975,0.9135802469135802,0.0,25.79631,5.92882565875547,5.932351924567555,0.05991645057842915,{'2025-05-31': -0.061117688962634364}
5,3,81,-0.061117688962634364,-7.545393699090662,0.08641975308641975,0.9135802469135802,0.0,25.79631,5.92882565875547,5.932351924567555,0.05991645057842915,{'2025-05-31': -0.061117688962634364}
5,5,81,-0.061117688962634364,-7.545393699090662,0.08641975308641975,0.9135802469135802,0.0,25.79631,5.92882565875547,5.932351924567555,0.05991645057842915,{'2025-05-31': -0.061117688962634364}
10,1,81,-0.0666727276954866,-8.231200950060074,0.1728395061728395,0.7654320987654321,0.06172839506172839,3516.816366,11.857651317510998,5.932351924567555,0.06330009510461122,{'2025-05-31': -0.0666727276954866}
10,3,81,-0.06791345304714813,-8.384376919401005,0.19753086419753085,0.8024691358024691,0.0,3516.816366,11.857651317510998,5.932351924567555,0.06454530388977085,{'2025-05-31': -0.06791345304714813}
10,5,81,-0.06791345304714813,-8.384376919401005,0.19753086419753085,0.8024691358024691,0.0,3516.816366,11.857651317510998,5.932351924567555,0.06454530388977085,{'2025-05-31': -0.06791345304714813}
20,3,80,-0.07157899162732051,-8.947373953415063,0.3,0.6125,0.0875,29892.494307,23.693475299245677,5.92688848922973,0.06651260427272568,{'2025-05-31': -0.07157899162732051}
20,5,80,-0.07288680374201761,-9.110850467752202,0.3375,0.65,0.0125,29892.494307,23.693475299245677,5.92688848922973,0.06644424662064707,{'2025-05-31': -0.07288680374201761}
30,3,77,-0.07460162986022245,-9.688523358470448,0.23376623376623376,0.4675324675324675,0.2987012987012987,72520.358859,33.60520974018812,5.932926807427435,0.07450201505784877,{'2025-05-31': -0.07460162986022245}
20,1,81,-0.07613039235999863,-9.39881387160477,0.18518518518518517,0.4444444444444444,0.37037037037037035,30176.103273,23.71530263502209,5.932351924567555,0.07225896072970564,{'2025-05-31': -0.07613039235999863}
30,5,77,-0.07938068002857601,-10.309179224490391,0.3116883116883117,0.5454545454545454,0.14285714285714285,72520.358859,33.60520974018812,5.932926807427435,0.07625560307080582,{'2025-05-31': -0.07938068002857601}
15,1,81,-0.08415487556286438,-10.38949081023017,0.1728395061728395,0.6419753086419753,0.18518518518518517,16208.023877999998,17.78647697626646,5.932351924567555,0.0798229648889315,{'2025-05-31': -0.08415487556286438}
15,3,81,-0.08934002913769434,-11.029633226875845,0.2345679012345679,0.7407407407407407,0.024691358024691357,16208.023877999998,17.78647697626646,5.932351924567555,0.08453307582655323,{'2025-05-31': -0.08934002913769434}
30,1,80,-0.08950230709568263,-11.18778838696033,0.125,0.325,0.55,59990.245736,33.61073368740743,5.93479089046342,0.08773840541441146,{'2025-05-31': -0.08950230709568263}
15,5,81,-0.09174992673392512,-11.327151448632732,0.2345679012345679,0.7654320987654321,0.0,16208.023877999998,17.78647697626646,5.932351924567555,0.08695569415895378,{'2025-05-31': -0.09174992673392512}
