index,net_pnl
TSLA,0.5115931289096176
NVDA,0.4687787390961556
PDD,0.39454461981299316
AMD,0.2851441751982926
MRVL,0.26094701744483073
ZM,0.20968345088513382
BIDU,0.13550710764777102
INTC,0.12988352624134583
PLTR,0.11344404346756037
STX,0.11110655092306534
AMZN,0.10578466366674114
GOOGL,0.0869661889832712
WDC,0.0822066143528148
NFLX,0.07923255520895622
PYPL,0.07330929305519987
MELI,0.06335232484549773
MRNA,0.06228742758208169
META,0.055700073081253056
DOCU,0.04840371457007949
ARM,0.04589150209639469
CSCO,0.040671561253267076
VRTX,0.03358901230481117
INTU,0.029783652891105628
KLAC,0.029044385498785234
ON,0.02688277785555917
MSFT,0.02283907261144709
MSTR,0.02168449631141129
SBUX,0.021682087623059502
ADSK,0.021397141932411955
GILD,0.02092939057838141
CEG,0.020256593235843428
GOOG,0.013287741089607206
CHTR,0.012720215309052556
AVGO,0.010234042167048709
MCHP,0.008817316954404303
ZS,0.00855600853369573
ISRG,0.008029068599881437
QCOM,0.006996973529554641
TXN,0.006870172632100598
COST,0.006278314154443662
MDLZ,0.005982200618210556
APP,0.003998650636680599
HON,0.0038025384906423287
DASH,0.0031215491583352745
AMAT,0.0014076810970995867
TTWO,0.0
UAL,0.0
BIIB,0.0
WMT,0.0
VSNT,0.0
ULTA,0.0
VRSK,0.0
VRSN,0.0
ADP,0.0
AEP,0.0
ALNY,0.0
ANSS,0.0
BMRN,0.0
ALGN,0.0
CELG,0.0
CDW,0.0
AAL,0.0
CDNS,0.0
QQQ,0.0
CERN,0.0
CCEP,0.0
AXON,0.0
BKR,0.0
CHKP,0.0
WYNN,0.0
WTW,0.0
WBA,0.0
LBTYA,0.0
JBHT,0.0
INCY,0.0
INSM,0.0
LBTYK,0.0
FANG,0.0
GFS,0.0
FTNT,0.0
FOXA,0.0
KHC,0.0
IDXX,0.0
HSIC,0.0
HAS,0.0
LCID,0.0
MAR,0.0
KDP,0.0
FOX,0.0
GEHC,0.0
FI,0.0
FAST,0.0
CTAS,0.0
CTSH,0.0
EXPE,0.0
EXC,0.0
FER,0.0
ENPH,0.0
CTXS,0.0
CSGP,0.0
CPRT,0.0
XLNX,0.0
XEL,0.0
SOLS,0.0
SNDK,0.0
SWKS,0.0
PAYX,0.0
RIVN,0.0
PCAR,0.0
SMCI,0.0
ORLY,0.0
TTD,0.0
TRI,0.0
TCOM,0.0
MNST,0.0
MDB,0.0
MPWR,0.0
SIRI,0.0
SGEN,0.0
ROST,0.0
ROP,0.0
NTES,0.0
NTAP,0.0
MYL,0.0
MXIM,0.0
NLOK,0.0
OKTA,0.0
ODFL,0.0
ASML,-0.000759014488528754
SNPS,-0.0010833423616774859
ALXN,-0.0011187735835608051
BKNG,-0.001834489905272125
PTON,-0.0018928421223603138
TMUS,-0.002104294479768862
LRCX,-0.002572870583408342
LIN,-0.0037557055101479736
ADBE,-0.003966796079799004
PANW,-0.004397152485014043
ATVI,-0.007235756060145003
AZN,-0.009659883606744704
NXPI,-0.009730915204962502
DLTR,-0.010163316506875013
EA,-0.01152544113607417
AAPL,-0.012387784345125278
AMGN,-0.01241044329890596
EBAY,-0.012464236538448234
CSX,-0.01264623715841071
DXCM,-0.015222685062287647
ABNB,-0.016122305619889477
CMCSA,-0.017204434153450313
SPLK,-0.020166362415096818
WBD,-0.023358123433479233
WDAY,-0.028722376454291185
TEAM,-0.030527016238080643
MU,-0.0322026415233403
JD,-0.036787987648832045
ILMN,-0.04084376523263697
MTCH,-0.04134243376500982
SHOP,-0.041469432220835385
PEP,-0.04256329663267998
LULU,-0.04894325302236405
ADI,-0.05725025369279174
REGN,-0.06195392443821664
CRWD,-0.06851557976983566
DDOG,-0.11532629885426313
