top_n,total_return,recent12_return,maximum_drawdown,turnover,positive_months,negative_months
1,3.5158939139203436,1.3810236638004236,0.363218562617535,151.0,44,29
2,3.610039181074964,1.423744217015978,0.28224242778530373,135.0,43,30
3,3.6282963573587454,1.1551976793162875,0.17233352173209557,127.66666666666666,48,25
4,3.2274823300782476,1.0559126289687542,0.1635933205487914,133.5,42,31
5,2.773591694223453,0.969699480563702,0.17146901440093812,115.5,46,27
6,2.3052278671828903,0.9455653909268227,0.2220560898034313,118.16666666666666,43,30
7,2.3506857309265263,0.9681771055620418,0.1909563459956792,114.07142857142856,46,27
8,2.328768433005468,0.9682270318611524,0.20231263198442323,109.57142857142857,45,28
9,2.2795596319775466,0.9350860923617123,0.17696093310411035,106.37698412698413,48,25
10,2.2133298221542357,0.8614026616349131,0.1795191787180895,102.71031746031747,46,27
11,2.1915099828395506,0.8876113435919929,0.18527300382102435,97.81940836940836,46,27
12,2.0827590571994206,0.8397843069571335,0.19453919928775296,94.48607503607502,46,27
13,2.0581224343969318,0.8095183308032879,0.18483850188850748,87.25530580530581,45,28
14,2.004117562647181,0.7623215093004758,0.18547995386309396,85.51904206904206,44,29
15,1.9665223496493938,0.7312645359238221,0.19432533914189934,85.35713730713731,45,28
16,1.8992082060638302,0.6930204218021511,0.2033766991019312,86.29880397380398,44,29
17,1.870999334508629,0.6709626669250741,0.21379278365924975,84.32086279733338,46,27
18,1.8308294921935944,0.6412058681955883,0.21387647368158624,77.72609155550333,46,27
19,1.8041946178928834,0.6274120948825367,0.2171837743909578,75.42199798825185,47,26
20,1.780286237631368,0.5975624665750152,0.21449674960097093,75.35884009351501,46,27
