variant,net_simple_return,maximum_drawdown,positive_months,negative_months,worst_month,worst_year,recent12_return,recent12_positive_months,turnover,trade_sessions,average_utilization,exit_counts
control,3.6282963573587454,0.17233352173209557,48,25,-0.16536813445765458,-0.06881295092862345,1.1551976793162875,9,127.66666666666666,173,0.882830626450116,{}
stop3,2.8576854169599457,0.2218073367616484,46,27,-0.27376168403117984,-0.15104927981848032,0.9924711252666709,8,229.66666666666666,404,0.7774555297757155,{'stop': 192}
stop5,3.635088600361083,0.18452031178840878,47,26,-0.1523003119772514,-0.0679352254978263,1.1608271925012266,10,195.0,328,0.8190255220417634,{'stop': 123}
stop8,3.1786882679278596,0.2594760130322168,46,27,-0.15160713565702913,-0.2660040011698673,1.1081447579169208,9,172.33333333333331,278,0.8447409126063418,{'stop': 78}
tp5,3.270445324507997,0.17591213232533115,51,22,-0.16536813445765458,-0.010239623722620175,1.1197975452148752,9,230.99999999999997,395,0.7900232018561485,{'take_profit': 185}
tp10,3.6286414580141115,0.16412754151456918,49,24,-0.16536813445765458,-0.09788505761488965,1.2347733478152583,10,185.66666666666666,310,0.8306264501160093,{'take_profit': 99}
tp15,3.398938012928788,0.18897793602474816,50,23,-0.16536813445765458,-0.12748512405262058,1.2466173132892537,10,164.66666666666663,263,0.8468677494199536,{'take_profit': 67}
trim5,3.662258626236369,0.16351937934311594,53,20,-0.16536813445765458,-0.033162551992078515,1.099130448504185,10,147.66666666666666,279,0.8630123743232793,{'trim': 81}
trim10,3.6497620078090325,0.17158317665602169,49,24,-0.16536813445765458,-0.07622996752104504,1.188203866672851,9,140.33333333333331,238,0.8711330239752513,{'trim': 45}
trail5_3,3.1106826726170684,0.19882096616406572,47,26,-0.17199493214047643,-0.12163267977238192,1.021897996398422,9,207.33333333333331,345,0.8188321732405258,{'trailing': 140}
trail10_5,3.556187321946866,0.19402250205433139,47,26,-0.16601749048550474,-0.1624645170397449,1.139830806845108,9,165.66666666666663,261,0.8518948182521268,{'trailing': 61}
time5,3.3724769630374514,0.16149570218266415,46,27,-0.15120964465005257,-0.00036690306952218144,1.1307660822060805,10,213.66666666666666,374,0.7786156225831401,{'time': 163}
time10,3.3478151948323234,0.16846947988349026,46,27,-0.1811622907058657,-0.05677802773105698,1.0330842010068466,9,182.33333333333331,306,0.8236658932714617,{'time': 93}
rank5,3.704615502218862,0.16564765810018228,47,26,-0.16536813445765458,-0.006560526383224796,1.1833097066013387,9,133.66666666666666,252,0.8468677494199536,{'rank': 74}
rank10,3.536580663474834,0.20375181152663197,48,25,-0.16536813445765458,-0.16114717355566788,1.1594001827709133,9,129.0,196,0.8731631863882443,{'rank': 21}
lose_sma50,2.7524556818820343,0.1672468853969196,51,22,-0.20114126902005683,0.0,0.6605067395964138,9,321.66666666666663,513,0.6227764887857695,{'sma50': 384}
bracket5_trail10_5,3.692169520137354,0.21937798152538932,49,24,-0.16797864505518995,-0.04935039632349949,0.9868781125664963,9,272.3333333333333,447,0.7563805104408353,"{'trailing': 91, 'stop': 162}"
