skip,bps_per_side,return,maximum_drawdown,positive_months,negative_months,turnover,train,validation
0,2.0,3.0768352689528617,0.2917247453619316,45,28,131.0,"{'net': 1.408791845513429, 'dd': 0.2917247453619316, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.2816363679611782}","{'net': 1.6680434234394328, 'dd': 0.43155437914426276, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.1791852198271936}"
0,5.0,3.0375352689528614,0.29621179796474895,45,28,131.0,"{'net': 1.386491845513429, 'dd': 0.29621179796474895, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.2826363679611782}","{'net': 1.6510434234394327, 'dd': 0.43407028035987355, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.1795852198271936}"
0,10.0,2.9720352689528613,0.30376177442501695,45,28,131.0,"{'net': 1.3493251788467622, 'dd': 0.30376177442501695, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.2843030346278449}","{'net': 1.6227100901060993, 'dd': 0.43832087809836984, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.18025188649386026}"
1,2.0,2.878890325800274,0.34997491916043943,47,26,131.66666666666666,"{'net': 1.1797190425434276, 'dd': 0.34997491916043943, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.29215407550126543}","{'net': 1.6991712832568462, 'dd': 0.4035049492342591, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.1791852198271936}"
1,5.0,2.8393903258002733,0.3560649867094066,46,27,131.66666666666666,"{'net': 1.1560190425434276, 'dd': 0.3560649867094066, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.2937540755012654}","{'net': 1.6833712832568462, 'dd': 0.4053612687677695, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.1795852198271936}"
1,10.0,2.7735569924669403,0.36631167106513685,46,27,131.66666666666666,"{'net': 1.1165190425434277, 'dd': 0.36631167106513685, 'positive_months': 25, 'negative_months': 16, 'worst_month': -0.29642074216793207}","{'net': 1.6570379499235128, 'dd': 0.40848721953815226, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.18025188649386026}"
5,2.0,2.5203430461966416,0.3651134777287047,44,29,133.66666666666666,"{'net': 1.0449454110951177, 'dd': 0.3651134777287047, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.3140246328940319}","{'net': 1.4753976351015239, 'dd': 0.4393560701925394, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.17931855316052692}"
5,5.0,2.480243046196642,0.3712259442129762,44,29,133.66666666666666,"{'net': 1.0222454110951174, 'dd': 0.3712259442129762, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.31542463289403183}","{'net': 1.4579976351015236, 'dd': 0.4422670427830882, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.17991855316052693}"
5,10.0,2.4134097128633085,0.38151950680660945,43,30,133.66666666666666,"{'net': 0.9844120777617844, 'dd': 0.38151950680660945, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.3177579662273652}","{'net': 1.4289976351015237, 'dd': 0.4471864342170297, 'positive_months': 18, 'negative_months': 15, 'worst_month': -0.18091855316052693}"
10,2.0,3.2873219908356157,0.20491454526700745,48,25,136.33333333333331,"{'net': 1.7875340627665008, 'dd': 0.20491454526700745, 'positive_months': 27, 'negative_months': 14, 'worst_month': -0.1915908461256652}","{'net': 1.4997879280691149, 'dd': 0.4104207335264791, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.1779452106591678}"
10,5.0,3.2464219908356156,0.2080547510678006,48,25,136.33333333333331,"{'net': 1.7638340627665006, 'dd': 0.2080547510678006, 'positive_months': 27, 'negative_months': 14, 'worst_month': -0.1921908461256652}","{'net': 1.4825879280691145, 'dd': 0.4127643947841433, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.1785452106591678}"
10,10.0,3.1782553241689486,0.2138921289334434,47,26,136.33333333333331,"{'net': 1.7243340627665007, 'dd': 0.2138921289334434, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.1931908461256652}","{'net': 1.453921261402448, 'dd': 0.41671571741515984, 'positive_months': 21, 'negative_months': 12, 'worst_month': -0.17954521065916781}"
15,2.0,3.069051377962225,0.2149895993570431,45,28,132.33333333333331,"{'net': 1.5746301293215883, 'dd': 0.2149895993570431, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.20774277113114625}","{'net': 1.4944212486406372, 'dd': 0.41299548920200835, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.18151407428726887}"
15,5.0,3.0293513779622256,0.21821713181883015,45,28,132.33333333333331,"{'net': 1.5511301293215882, 'dd': 0.21821713181883015, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.20814277113114626}","{'net': 1.4782212486406372, 'dd': 0.41543345513772256, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.18231407428726887}"
15,10.0,2.9631847112955585,0.2236504338598432,45,28,132.33333333333331,"{'net': 1.5119634626549217, 'dd': 0.2236504338598432, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.2088094377978129}","{'net': 1.451221248640637, 'dd': 0.41954169541216724, 'positive_months': 19, 'negative_months': 14, 'worst_month': -0.1836474076206022}"
21,2.0,3.727114703358719,0.1665502460557592,49,24,127.66666666666666,"{'net': 1.7326544175883674, 'dd': 0.16618531842726778, 'positive_months': 26, 'negative_months': 15, 'worst_month': -0.14839065501068968}","{'net': 1.994460285770352, 'dd': 0.353767430666945, 'positive_months': 23, 'negative_months': 10, 'worst_month': -0.16330404367958723}"
